,title,categories,pages,ISBN-13,publisher
0,Wonder,"Children's Disease Books, Children's eBooks on Disability, Children's Books on Diseases & Physical Illness",320 pages,978-0375869020,"Knopf Books for Young Readers; 1st edition (February 14, 2012)"
1,Heroes: A Novel of Pearl Harbor,"Children's Military Fiction (Books), Children's 1900s American Historical Fiction, Children's Action & Adventure Books (Books)",272 pages,978-1338736076,"Scholastic Press (February 6, 2024)"
2,Refugee ,"Children's Fiction on Social Situations, Children's Military Fiction (Books), Children's Action & Adventure Books (Books)",352 pages,978-0545880831,"Scholastic Press (July 25, 2017)"
3,From the World of Percy Jackson: The Sun and the Star (A Nico di Angelo Adventure) ,"Children's Books on LGBTQ+ Families, Children's Greek & Roman Books, Children's Fantasy & Magic Books",480 pages,978-1368081153,"Disney Hyperion (May 2, 2023)"
4,Wings of Fire: A Guide to the Dragon World ,"Children's Dragon, Unicorn & Mythical Stories, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",240 pages,978-1338634822,"Scholastic Press (October 3, 2023)"
5,A Royal Conundrum (The Misfits) ,"Children's Mystery, Detective, & Spy, Children's Friendship Books, Children's Action & Adventure Books (Books)",288 pages,978-1984830296,"Random House Books for Young Readers (January 2, 2024)"
6,Odder ,"Children's Mammal Books (Books), Children's Marine Life Books, Children's Friendship Books",288 pages,978-1250147424,"Feiwel & Friends (September 20, 2022)"
7,They Call Me No Sam! ,"Children's Dog Books (Books), Children's Humor, Children's Family Life Books (Books)",224 pages,978-0358612902,"Clarion Books (June 4, 2024)"
8,The Complete Cookbook for Young Chefs: 100+ Recipes that You'll Love to Cook and Eat,"Children's Cookbooks, 'Cooking with Kids (Books)', Children's House & Home Books",208 pages,978-1492670025,"Sourcebooks Explore (October 16, 2018)"
9,Faker,"Children's Books on Boys' & Men's Issues, Children's Parents Books, Children's Values Books",224 pages,978-1338826753,"Scholastic Press (July 2, 2024)"
10,Ferris ,"Children's Books on Death & Dying, Children's Multigenerational Family Life, Children's Spine-Chilling Horror",240 pages,978-1536231052,"Candlewick (March 5, 2024)"
11,"Roswell Johnson Saves the World! (Roswell Johnson, 1)","Children's Science Fiction Books (Books), Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",464 pages,978-0316515047,"Little, Brown Books for Young Readers (June 4, 2024)"
12,Ground Zero ,"Children's Asia Books, Children's Middle East Books, Children's Military Fiction (Books)",336 pages,978-1338245752,"Scholastic Press (February 2, 2021)"
13,A Horse Named Sky (A Voice of the Wilderness Novel) ,"Children's Horse Books (Books), Children's New Experiences Books, Children's Action & Adventure Books (Books)",272 pages,978-0062995957,"Greenwillow Books (August 29, 2023)"
14,The Secret Library ,"Children's Black & African American Story Books, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",384 pages,978-1536230888,"Candlewick (May 7, 2024)"
15,Coyote Lost and Found (Coyote Sunrise) ,"Children's Travel Books (Books), Children's Books on Death & Dying, Children's Self-Esteem Books",288 pages,978-1250292773,"Henry Holt and Co. (BYR) (March 5, 2024)"
16,Tree. Table. Book. ,"Children's Books on Girls' & Women's Issues, Children's Books on Emotions & Feelings (Books), Children's Friendship Books",208 pages,978-0063299504,"Clarion Books; First Edition (April 23, 2024)"
17,The Mystery of Locked Rooms ,"Children's Mystery, Detective, & Spy, Children's Game Books (Books), Children's Friendship Books",256 pages,978-1728259536,"Sourcebooks Young Readers (April 2, 2024)"
18,Louder Than Hunger ,"Children's Books on Boys' & Men's Issues, Children's Fiction on Social Situations, 'Stories Verse'",528 pages,978-1536229097,"Candlewick (March 19, 2024)"
19,"Stay Curious and Keep Exploring: Next Level: 50 Bigger, Bolder Science Experiments to Do with the Whole Family","Scientific Experiments & Projects', Children's Science Experiment Books, 'Family Activity'",176 pages,978-1797226484,"Chronicle Prism (March 5, 2024)"
20,"Unstoppable Us, Volume 2: Why the World Isn't Fair","Children's Prehistoric Books (Books), Children's General Social Science Books, Children's Explore the World Books (Books)",208 pages,978-0593711521,"Bright Matter Books (March 5, 2024)"
21,Uprising ,"Children's Holocaust Fiction Books (Books), Children's European Historical Fiction (Books), Children's Military Fiction (Books)",384 pages,978-1338795080,"Scholastic Press (March 5, 2024)"
22,"Unstoppable Us, Volume 1: How Humans Took Over the World","Children's Prehistoric Books (Books), Children's General Social Science Books, Children's Explore the World Books (Books)",208 pages,978-0593643464,"Bright Matter Books (October 18, 2022)"
23,Max in the House of Spies: A Tale of World War II (Operation Kinderspion) ,"Children's Holocaust Fiction Books (Books), Children's Folk Tales & Myths (Books)",336 pages,978-0593112083,"Dutton Books for Young Readers (February 27, 2024)"
24,Finally Heard ,"Censorship & Politics', Children's Fiction on Social Situations, Children's New Experiences Books",352 pages,978-1665947930,"Simon & Schuster Books for Young Readers (February 27, 2024)"
25,"Little Leaders: Bold Women in Black History (Leaders & Dreamers, 1)","Children's Historical Biographies (Books), Children's Multicultural Biographies, Children's Black & African American Story Books",96 pages,978-0316475112,"Little, Brown Books for Young Readers; Illustrated edition (December 5, 2017)"
26,"The Complete Baking Book for Young Chefs: 100+ Sweet and Savory Recipes that You'll Love to Bake, Share and Eat!","Children's Cookbooks, Children's House & Home Books, Children's Daily Activities Books",224 pages,978-1492677697,"Sourcebooks Explore (October 1, 2019)"
27,"Little Legends: Exceptional Men in Black History (Leaders & Dreamers, 3)","Children's Historical Biographies (Books), Children's Multicultural Biographies, Children's Black & African American Story Books",96 pages,978-0316475143,"Little, Brown Books for Young Readers; Illustrated edition (November 19, 2019)"
28,Barracoon Adapted for Young Readers The Story of the Last Black Cargo ,"Children's American History of 1800s, Children's Multicultural Biographies, Children's Black & African American Story Books",208 pages,978-0063098336,"Amistad Books for Young Readers (January 23, 2024)"
29,"Dogtown (A Dogtown Book, 1)","Children's Parents Books, Children's Dog Books (Books), Children's Friendship Books",352 pages,978-1250811608,"Feiwel & Friends (September 19, 2023)"
30,The Official Harry Potter Cookbook: 40+ Recipes Inspired by the Films,"Children's Cookbooks, Children's Arts, Music & Photography Books (Books), Children's Coloring Books",128 pages,978-1338893076,"Scholastic Inc. (September 5, 2023)"
31,The Lost Library ,"Children's Cat Books (Books), Children's Mystery, Detective, & Spy, Children's Fantasy & Magic Books",224 pages,978-1250838810,"Feiwel & Friends (August 29, 2023)"
32,The Harry Potter Wizarding Almanac: The official magical companion to J.K. Rowling's Harry Potter books ,"Children's Spine-Chilling Horror, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",208 pages,978-1339018140,"Scholastic Inc. (October 10, 2023)"
33,Juniper’s Christmas ,"Children's Homelessness & Poverty Books (Books), Children's Christmas Books (Books), Children's Action & Adventure Books (Books)",368 pages,978-1250321947,"Roaring Brook Press (October 31, 2023)"
34,The Puppets of Spelhorst (The Norendy Tales) ,"Self-Help & Psychology Humor', Children's Performing Arts Fiction, Children's Fantasy & Magic Books",160 pages,978-1536216752,"Candlewick (October 10, 2023)"
35,The Wheel of the Year: An Illustrated Guide to Nature's Rhythms ,"Mythology & Folklore Encyclopedias', Children's Almanacs (Books), Children's Non-religious Holiday Books",256 pages,978-1524874803,"Andrews McMeel Publishing; Illustrated edition (October 24, 2023)"
36,"Chinese Menu: The History, Myths, and Legends Behind Your Favorite Foods ","Children's Asian & Asian American Books, Children's Cookbooks, Children's Multicultural Biographies",288 pages,978-0316486002,"Little, Brown Books for Young Readers (September 12, 2023)"
37,Remember Us ,"Children's Black & African American Story Books, Children's Books on Emotions & Feelings (Books), Children's Friendship Books",192 pages,978-0399545467,"Nancy Paulsen Books (October 10, 2023)"
38,Wrecker ,"Lawyers & Criminals Humor', Children's Mystery, Detective, & Spy, Children's Action & Adventure Books (Books)",336 pages,978-0593376287,"Knopf Books for Young Readers (September 26, 2023)"
39,Rosie Frost and the Falcon Queen ,"Children's European Historical Fiction (Books), Children's Books on Girls' & Women's Issues, Children's Fantasy & Magic Books",464 pages,978-0593623343,"Philomel Books (October 3, 2023)"
40,The Little Kid with the Big Green Hand ,"Children's Humorous Comics & Graphic Novels, Children's Friendship Books, Children's Activity Books (Books)",224 pages,978-1419771224,"Harry N. Abrams (September 26, 2023)"
41,Greeking Out: Epic Retellings of Classic Greek Myths ,Children's European History,192 pages,978-1426375965,"National Geographic Kids; Media tie-in edition (September 19, 2023)"
42,"Stuntboy, In-Between Time (2)","Children's Superhero Fiction, Children's Books on Emotions & Feelings (Books), Children's Humor",272 pages,978-1534418226,"Atheneum/Caitlyn Dlouhy Books (August 29, 2023)"
43,A Rover's Story ,"Children's Robot Fiction Books, Children's Values Books, Children's Friendship Books",320 pages,978-0063113923,"Balzer + Bray (October 4, 2022)"
44,"Greenwild: The World Behind the Door (Greenwild, 1)","Children's Nature Books (Books), Children's School Issues, Children's Fantasy & Magic Books",384 pages,978-0374391379,"Farrar, Straus and Giroux (BYR) (June 6, 2023)"
46,Two Degrees ,"Disaster Books for Children', Children's Environment Books (Books), Children's Action & Adventure Books (Books)",384 pages,978-1338735673,"Scholastic Press (October 4, 2022)"
47,Nic Blake and the Remarkables: The Manifestor Prophecy ,"Children's Black & African American Story Books, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",368 pages,978-0063225138,"Balzer + Bray (April 4, 2023)"
48,Skandar and the Unicorn Thief (1),"Children's Dragon, Unicorn & Mythical Stories, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",448 pages,978-1665912730,"Simon & Schuster Books for Young Readers (May 3, 2022)"
49,"Fall of the School for Good and Evil (Rise, 2)","Children's Fantasy & Magic Books, Children's Friendship Books, Children's Action & Adventure Books (Books)",384 pages,978-0063269538,"HarperCollins; First Edition (May 2, 2023)"
50,"Catch a Crayfish, Count the Stars: Fun Projects, Skills, and Adventures for Outdoor Kids ","Children's Science Experiment Books, 'Hiking & Camping Instructional Guides', 'Parenting (Books)'",368 pages,978-0593448977,"Random House (June 13, 2023)"
51,CROWNED: Magical Folk and Fairy Tales from the Diaspora ,"Children's Photography, 'Portrait Photography', 'African American Demographic Studies (Books)'",272 pages,978-1250281388,"St. Martin's Press (May 23, 2023)"
52,Skandar and the Phantom Rider (2),"Children's Dragon, Unicorn & Mythical Stories, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",496 pages,978-1665912761,"Simon & Schuster Books for Young Readers (May 2, 2023)"
53,Once There Was ,"Children's Dragon, Unicorn & Mythical Stories, Children's Fantasy & Magic Books, Children's Action & Adventure Books (Books)",416 pages,978-1665928502,"Simon & Schuster Books for Young Readers (April 4, 2023)"
