,title,author,stars,ratings and reviews,tags
0,Wonder,['R.J. Palacio'],4.37,"['1,108,398 ratings76,882 reviews']","Young Adult, Fiction, Middle Grade, Contemporary, Realistic Fiction, Childrens, School"
1,Heroes: A Novel of Pearl Harbor,['Alan Gratz'],4.25,"['2,120 ratings306 reviews']","Historical Fiction, Middle Grade, Historical, Fiction, Young Adult, Adventure, World War II"
2,Refugee,['Alan Gratz'],4.38,"['70,349 ratings9,277 reviews']","Historical Fiction, Young Adult, Middle Grade, Fiction, Historical, Realistic Fiction, War"
3,The Sun and the Star,['Mark Oshiro' 'Rick Riordan'],4.24,"['39,831 ratings7,153 reviews']","Fantasy, Mythology, LGBT, Young Adult, Middle Grade, Queer, Romance"
4,Wings of Fire: A Guide to the Dragon World,['Joy Ang' 'Tui T. Sutherland'],4.56,['796 ratings77 reviews'],"Fantasy, Dragons, Middle Grade, Fiction, Animals, Young Adult, High Fantasy"
5,A Royal Conundrum,['Dan Santat' 'Lisa Yee'],3.82,"['1,181 ratings316 reviews']","Middle Grade, Mystery, Adventure, Fiction, Humor, Graphic Novels, Childrens"
6,Odder,['Charles Santoso' 'Katherine Applegate'],4.25,"['9,387 ratings1,426 reviews']","Middle Grade, Poetry, Animals, Fiction, Childrens, Audiobook, Juvenile"
7,They Call Me No Sam!,['Drew Daywalt' 'Mike Lowery'],4.03,['118 ratings34 reviews'],"Middle Grade, Humor, Childrens, Animals, Juvenile, Adventure, Science Fiction"
8,The Complete Cookbook for Young Chefs,"[""America's Test Kitchen""]",4.4,['789 ratings69 reviews'],"Cookbooks, Cooking, Nonfiction, Childrens, Food, Reference, Middle Grade"
9,Faker,['Gordon Korman'],4.22,['318 ratings79 reviews'],"Middle Grade, Realistic Fiction, Childrens, Humor, Contemporary, Fiction, Family"
10,Ferris,['Kate DiCamillo'],4.3,"['3,110 ratings648 reviews']","Middle Grade, Fiction, Family, Realistic Fiction, Childrens, Audiobook, Humor"
11,Roswell Johnson Saves the World!,['Chris Colfer'],4.03,['137 ratings37 reviews'],"Middle Grade, Science Fiction, Fantasy, Adventure, Childrens, Audiobook, Fiction"
12,Ground Zero,['Alan Gratz'],4.33,"['20,438 ratings2,391 reviews']","Historical Fiction, Middle Grade, Young Adult, Fiction, Historical, War, Realistic Fiction"
13,A Horse Named Sky,['Kirbi Fagan' 'Rosanne Parry'],4.22,['316 ratings69 reviews'],"Middle Grade, Historical Fiction, Horses, Animals, Adventure, Childrens, Juvenile"
14,The Secret Library,['Kekla Magoon'],3.86,['373 ratings89 reviews'],"Middle Grade, Fantasy, Adventure, Fiction, Time Travel, Science Fiction, Juvenile"
15,Coyote Lost and Found,['Dan Gemeinhart'],4.55,"['2,452 ratings575 reviews']","Middle Grade, Realistic Fiction, Fiction, Family, Audiobook, Adventure, Young Adult"
16,Tree. Table. Book.,['Lois Lowry'],4.42,"['1,414 ratings432 reviews']","Middle Grade, Fiction, Childrens, Realistic Fiction, Contemporary, Young Adult, Family"
17,The Mystery of Locked Rooms,['Lindsay Currie'],4.05,['915 ratings291 reviews'],"Middle Grade, Mystery, Adventure, Fiction, Childrens, Realistic Fiction, Contemporary"
18,Louder Than Hunger,['John Schu'],4.56,"['2,639 ratings533 reviews']","Middle Grade, Poetry, Mental Health, Young Adult, Realistic Fiction, Fiction, Audiobook"
19,"Stay Curious and Keep Exploring: Next Level: 50 Bigger, Bolder Science Experiments to Do with the Whole Family",['Emily Calandrelli'],4.5,['32 ratings17 reviews'],
20,"Unstoppable Us, Vol. 2: Why the World Isn't Fair",['Ricard Zaplana Ruiz' 'Yuval Noah Harari'],4.35,['509 ratings73 reviews'],"Nonfiction, History, Science, Childrens, Audiobook, Historical, School"
21,Uprising,['Jennifer A. Nielsen'],4.43,['976 ratings182 reviews'],"Historical Fiction, Middle Grade, World War II, Young Adult, Historical, War, Holocaust"
22,"Unstoppable Us, Volume 1: How Humans Took Over the World",['Ricard Zaplana Ruiz' 'Yuval Noah Harari'],4.24,"['2,652 ratings370 reviews']","Nonfiction, History, Childrens, Science, Middle Grade, Historical, Audiobook"
23,Max in the House of Spies: A Tale of World War II,['Adam Gidwitz'],4.2,['713 ratings183 reviews'],"Historical Fiction, Middle Grade, Fantasy, Historical, Fiction, Childrens, Adventure"
24,Finally Heard,['Kelly Yang'],4.34,['725 ratings152 reviews'],"Middle Grade, Realistic Fiction, Fiction, Contemporary, Social Media, School, Young Adult"
25,Little Leaders: Bold Women in Black History,['Vashti Harrison'],4.58,"['4,048 ratings752 reviews']","Nonfiction, Picture Books, Biography, History, Childrens, Feminism, Middle Grade"
26,"The Complete Baking Book for Young Chefs: 100+ Sweet and Savory Recipes that You'll Love to Bake, Share and Eat!","[""America's Test Kitchen Kids""]",4.47,['367 ratings34 reviews'],"Cookbooks, Cooking, Nonfiction, Childrens, Food, Reference, Middle Grade"
27,Little Legends: Exceptional Men in Black History,['Kwesi Johnson' 'Vashti Harrison'],4.63,['769 ratings128 reviews'],"History, Nonfiction, Biography, Childrens, Picture Books, African American, Middle Grade"
28,Barracoon: Adapted for Young Readers: The Story of the Last Black Cargo,['Ibram X. Kendi' 'Jazzmen Lee-Johnson' 'Zora Neale Hurston'],4.35,['185 ratings39 reviews'],"Nonfiction, History, Middle Grade, African American, Memoir, Childrens, American History"
29,Dogtown,['Gennifer Choldenko' 'Katherine Applegate' 'Wallace  West'],4.23,"['1,539 ratings329 reviews']","Middle Grade, Fantasy, Animals, Fiction, Dogs, Childrens, Adventure"
30,The Official Harry Potter Cookbook: 40+ Recipes Inspired by the Films,['Joanna Farrow'],3.67,['94 ratings16 reviews'],"Cookbooks, Nonfiction, Cooking, Food"
31,The Lost Library,['Rebecca Stead' 'Wendy Mass'],4.13,"['6,492 ratings1,331 reviews']","Middle Grade, Mystery, Fantasy, Fiction, Books About Books, Audiobook, Childrens"
32,The Harry Potter Wizarding Almanac: The official magical companion to J.K. Rowling's Harry Potter books,['J.K. Rowling' 'Louise Lockhart' 'Peter Goes'],4.3,"['4,939 ratings246 reviews']","Fantasy, Fiction, Magic, Young Adult, Childrens, Witches, Art"
33,Juniper’s Christmas,['Eoin Colfer'],3.99,['821 ratings177 reviews'],"Christmas, Middle Grade, Fantasy, Holiday, Fiction, Childrens, Audiobook"
34,The Puppets of Spelhorst,['Julie Morstad' 'Kate DiCamillo'],4.19,"['4,002 ratings764 reviews']","Middle Grade, Fantasy, Fiction, Childrens, Juvenile, Adventure, Audiobook"
35,The Wheel of the Year: An Illustrated Guide to Nature's Rhythms,['Fiona  Cook' 'Jessica Roux'],4.51,['237 ratings52 reviews'],"Nonfiction, Witchcraft, Nature, Childrens, Spirituality, Picture Books, Middle Grade"
36,"Chinese Menu: The History, Myths, and Legends Behind Your Favorite Foods",['Grace Lin'],4.22,['612 ratings154 reviews'],"Nonfiction, Food, History, Middle Grade, Mythology, Childrens, Historical"
37,Remember Us,['Jacqueline Woodson'],4.28,"['2,137 ratings337 reviews']","Middle Grade, Historical Fiction, Fiction, Sports, Audiobook, Young Adult, Realistic Fiction"
38,Wrecker,['Carl Hiaasen'],4.04,"['3,060 ratings341 reviews']","Mystery, Middle Grade, Young Adult, Fiction, Adventure, Audiobook, Realistic Fiction"
39,Rosie Frost and the Falcon Queen,['Geri Halliwell' 'Geri Halliwell-Horner'],4.02,['641 ratings116 reviews'],"Fantasy, Middle Grade, Young Adult, Fiction, Magic, Audiobook, Mystery"
40,The Little Kid with the Big Green Hand,['Matthew Gray Gubler'],4.68,"['1,051 ratings191 reviews']","Childrens, Fiction, Picture Books, Graphic Novels, Middle Grade, Juvenile"
41,Greeking Out: Epic Retellings of Classic Greek Myths,['Javier Espila' 'Jillian Hughes' 'Kenny Curtis'],4.37,['91 ratings14 reviews'],"Nonfiction, Mythology, Childrens, History, Greek Mythology, Ancient"
42,"Stuntboy, In-Between Time",['Jason Reynolds' 'Raúl the Third'],4.03,['283 ratings55 reviews'],"Middle Grade, Graphic Novels, Fiction, Adventure, Realistic Fiction, Humor, Contemporary"
43,A Rover's Story,['Jasmine Warga'],4.28,"['6,040 ratings1,130 reviews']","Middle Grade, Science Fiction, Fiction, Childrens, Adventure, Audiobook, Space"
44,Greenwild,['Alan Baker' 'Elisa Paganelli' 'Pari Thomson'],4.2,"['1,871 ratings373 reviews']","Middle Grade, Fantasy, Childrens, Fiction, Magic, Nature, Audiobook"
46,Two Degrees,['Alan Gratz'],4.15,"['5,843 ratings775 reviews']","Middle Grade, Realistic Fiction, Adventure, Young Adult, Fiction, Survival, Climate Change"
47,The Manifestor Prophecy,['Angie Thomas'],4.19,"['2,492 ratings548 reviews']","Fantasy, Middle Grade, Fiction, Adventure, Magic, Audiobook, Childrens"
48,Skandar and the Unicorn Thief,['A.F. Steadman'],4.13,"['6,941 ratings1,219 reviews']","Fantasy, Middle Grade, Fiction, Magic, Adventure, Childrens, Audiobook"
49,Fall of the School for Good and Evil,['Soman Chainani'],4.04,"['1,689 ratings262 reviews']","Fantasy, Middle Grade, Fiction, Young Adult, Magic, Fairy Tales, Romance"
50,"Catch a Crayfish, Count the Stars: Fun Projects, Skills, and Adventures for Outdoor Kids",['Steven Rinella'],4.54,['103 ratings29 reviews'],"Parenting, Childrens, Nonfiction, Science, Outdoors, Adventure"
51,Crowned: Magical Folk and Fairy Tales from the Diaspora,['Kahran  Bethencourt' 'Regis Bethencourt' 'Salamishah Tillet'],4.39,['238 ratings82 reviews'],"Fantasy, Fairy Tales, Fiction, Childrens, Art, Short Stories, African American"
52,Skandar and the Phantom Rider,['A.F. Steadman'],4.39,"['2,778 ratings343 reviews']","Fantasy, Middle Grade, Fiction, Audiobook, Adventure, Childrens, Magic"
53,Once There Was,['Kiyash Monsef'],3.99,"['1,712 ratings359 reviews']","Fantasy, Middle Grade, Young Adult, Mythology, Animals, Mystery, Fiction"
54,Big Tree,['Brian Selznick'],4.05,"['3,137 ratings636 reviews']","Middle Grade, Fantasy, Fiction, Nature, Childrens, Graphic Novels, Historical Fiction"
55,"It's Not Bragging If It's True: How to Be Awesome at Life, from a Winner of the Scripps National Spelling Bee",['Marti Dumas' 'Zaila Avant-Garde'],3.72,['131 ratings24 reviews'],"Memoir, Middle Grade, Nonfiction, Biography, Childrens, Sports"
56,The Golden Frog Games,['Claribel A. Ortega'],4.32,['904 ratings184 reviews'],"Middle Grade, Fantasy, Witches, Mystery, Audiobook, Magic, Fiction"
57,Freewater,['Amina Luqman-Dawson'],4.18,"['4,338 ratings789 reviews']","Historical Fiction, Middle Grade, Fiction, Historical, Childrens, Young Adult, African American"
58,The Swifts: A Dictionary of Scoundrels,['Beth Lincoln' 'Claire   Powell'],4.06,"['4,335 ratings817 reviews']","Middle Grade, Mystery, Fiction, Humor, Childrens, Family, Audiobook"
59,The Rhythm of Time,['Questlove' 'S.A. Cosby'],4.07,['478 ratings96 reviews'],"Middle Grade, Science Fiction, Fantasy, Time Travel, Fiction, Audiobook, Young Adult"
60,I Am the Walrus,['Eric Elfman' 'Neal Shusterman'],3.73,['245 ratings61 reviews'],"Science Fiction, Middle Grade, Humor, Fantasy, Fiction, Young Adult, Animals"
61,Quest for Planet X,['Pétur Antonsson' 'Tessa  Gratton'],3.62,"['1,281 ratings156 reviews']","Star Wars, Science Fiction, Middle Grade, Fiction, Audiobook, Young Adult, Fantasy"
62,The Sister Switch,['Debbie Rigaud' 'Maxine Vee' 'Sarah Mlynowski'],4.31,['238 ratings29 reviews'],"Fantasy, Middle Grade, Audiobook, Childrens"
63,Iceberg,['Jennifer A. Nielsen'],4.14,"['3,921 ratings557 reviews']","Historical Fiction, Middle Grade, Historical, Fiction, Young Adult, Adventure, Audiobook"
64,On Air with Zoe Washington,['Janae Marks'],4.25,"['1,149 ratings205 reviews']","Middle Grade, Realistic Fiction, Fiction, Contemporary, Family, Audiobook, Childrens"
65,Finally Seen,['Kelly Yang'],4.46,"['2,837 ratings429 reviews']","Middle Grade, Realistic Fiction, Fiction, Audiobook, Family, Contemporary, School"
66,The Door of No Return,['Kwame Alexander'],4.32,"['5,999 ratings975 reviews']","Historical Fiction, Middle Grade, Poetry, Young Adult, Fiction, Africa, Historical"
67,New from Here,['Kelly Yang'],4.3,"['4,087 ratings708 reviews']","Middle Grade, Realistic Fiction, Fiction, Audiobook, Family, Contemporary, Childrens"
68,"Stuntboy, in the Meantime",['Jason Reynolds' 'Raúl the Third'],3.96,"['2,735 ratings494 reviews']","Middle Grade, Graphic Novels, Realistic Fiction, Fiction, Humor, Family, Childrens"
