title,author.x,Plot.Driven,Character.Driven,Mix.of.Plot.and.Character,Strong.Character.Development,Lovable.Characters,Diverse.Characters,Flaws.Of.Characters.Important,pages,genre.tags,mood.tags,genre.tags.list,mood.tags.list
A Beautiful Day in the Neighborhood: The Poetry of Mister Rogers,Fred Rogers          with Luke Flowers (Illustrator)        ,NA,NA,NA,NA,NA,NA,NA,144,"['nonfiction', 'childrens', 'poetry']",['lighthearted'],,
A Rover's Story,Jasmine Warga,0.1,0.35000000000000003,0.52,0.8,0.96,0.74,0.28,320,"['science fiction', 'middle grade', 'fiction']","['adventurous', 'hopeful', 'emotional']",,
A Tale of Magic...,Chris Colfer,0.23,0.16,0.59,0.89,0.88,0.66,0.54,481,"['fantasy', 'middle grade', 'fiction', 'young adult']",['adventurous'],,
A Tale of Witchcraft...,Chris Colfer,0.15,0.14,0.6900000000000001,0.77,0.86,0.67,0.72,432,"['fantasy', 'middle grade', 'fiction']","['adventurous', 'mysterious']",,
A Velocity of Being: Letters to a Young Reader,NA,NA,NA,NA,NA,NA,NA,NA,280,"['nonfiction', 'literary', 'childrens', 'art']",['reflective'],,
A Wolf Called Wander,Rosanne Parry          with Mónica Armiño (Illustrator)        ,0.29,0.4,0.29,0.8300000000000001,0.97,0.19,0.2,256,"['middle grade', 'fiction']","['adventurous', 'informative']",,
Ada Twist and the Perilous Pants,Andrea Beaty          with David Roberts (Illustrator)        ,0.33,0.33,0.33,0.33,1,1,0.66,112,"['childrens', 'middle grade', 'science', 'fiction']",['lighthearted'],,
Ali Cross,James Patterson,0.23,0.17,0.58,0.58,0.8200000000000001,0.75,0.25,320,"['middle grade', 'fiction', 'mystery', 'young adult']",['mysterious'],,
"Ali Cross: Like Father, Like Son",James Patterson,NA,NA,NA,NA,NA,NA,NA,304,"['nonfiction', 'thriller', 'childrens', 'crime']",['lighthearted'],,
Alien Superstar,"Henry Winkler, Lin Oliver",NA,NA,NA,NA,NA,NA,NA,264,"['science fiction', 'middle grade', 'fiction']","['lighthearted', 'adventurous', 'funny']",,
Allies,Alan Gratz,0.38,0.07,0.53,0.52,0.84,0.92,0.13,336,"['middle grade', 'historical', 'fiction', 'young adult']",['emotional'],,
