,titles,authors,goodreads links
0,"Serafina and the Black Cloak (Serafina, #1)",Robert  Beatty,https://www.goodreads.com/book/show/23507745-serafina-and-the-black-cloak
1,"The Sword of Summer (Magnus Chase and the Gods of Asgard, #1)",Rick Riordan,https://www.goodreads.com/book/show/15724396-the-sword-of-summer
2,Fish in a Tree,Lynda Mullaly Hunt,https://www.goodreads.com/book/show/22402972-fish-in-a-tree
3,"The War That Saved My Life (The War That Saved My Life, #1)",Kimberly Brubaker Bradley,https://www.goodreads.com/book/show/20912424-the-war-that-saved-my-life
4,"Neverseen (Keeper of the Lost Cities, #4)",Shannon Messenger,https://www.goodreads.com/book/show/22733616-neverseen
5,"The Last Ever After (The School for Good and Evil, #3)",Soman Chainani,https://www.goodreads.com/book/show/18004320-the-last-ever-after
6,"Mark of the Thief (Mark of the Thief, #1)",Jennifer A. Nielsen,https://www.goodreads.com/book/show/17453187-mark-of-the-thief
7,Echo,Pam Muñoz Ryan,https://www.goodreads.com/book/show/22749539-echo
8,"Beyond the Kingdoms (The Land of Stories, #4)",Chris Colfer,https://www.goodreads.com/book/show/24968392-beyond-the-kingdoms
9,Roller Girl,Victoria Jamieson,https://www.goodreads.com/book/show/22504701-roller-girl
10,"Monstrous (Monstrous, #1)",MarcyKate Connolly,https://www.goodreads.com/book/show/16181516-monstrous
11,"Book Scavenger (Book Scavenger, #1)",Jennifer Chambliss Bertman,https://www.goodreads.com/book/show/22718727-book-scavenger
12,A Night Divided,Jennifer A. Nielsen,https://www.goodreads.com/book/show/22024488-a-night-divided
13,"Story Thieves (Story Thieves, #1)",James  Riley,https://www.goodreads.com/book/show/22546584-story-thieves
14,The Honest Truth,Dan Gemeinhart,https://www.goodreads.com/book/show/22571259-the-honest-truth
15,"The Penderwicks in Spring (The Penderwicks, #4)",Jeanne Birdsall,https://www.goodreads.com/book/show/22693811-the-penderwicks-in-spring
16,Goodbye Stranger,Rebecca Stead,https://www.goodreads.com/book/show/23615709-goodbye-stranger
17,The Thing About Jellyfish,Ali Benjamin,https://www.goodreads.com/book/show/24396876-the-thing-about-jellyfish
18,Ruby Reinvented,Ronni Arno,https://www.goodreads.com/book/show/24885729-ruby-reinvented
19,Circus Mirandus,Cassie Beasley,https://www.goodreads.com/book/show/23281919-circus-mirandus
20,The Island of Dr. Libris,Chris Grabenstein,https://www.goodreads.com/book/show/22856146-the-island-of-dr-libris
21,Crenshaw,Katherine Applegate,https://www.goodreads.com/book/show/23310699-crenshaw
22,"Masterminds (Masterminds, #1)",Gordon Korman,https://www.goodreads.com/book/show/22249695-masterminds
23,"The Blackthorn Key (The Blackthorn Key, #1)",Kevin Sands,https://www.goodreads.com/book/show/23270216-the-blackthorn-key
