,title,pages,publisher,category 1,category 2,category 3,is bestseller
0,Serafina and the Black Cloak, 320 pages ,"Disney Hyperion; Reprint edition (June 14, 2016) ",in Children's Spine-Chilling Horror,"in Children's Mystery, Detective, & Spy",in Children's Action & Adventure Books (Books),1
1,Fish in a Tree, 320 pages ,"Nancy Paulsen Books; Reprint edition (March 28, 2017) ",in Children's Books on Disabilities,in Children's School Issues,in Children's Friendship Books,1
2,The War That Saved My Life, 352 pages ,"Puffin Books; Reprint edition (May 31, 2016) ",in Children's European Historical Fiction (Books),in Children's Books on Disabilities,in Children's Siblings Books (Books),1
3,"Mark of the Thief (Mark of the Thief, Book 1) (1)", 352 pages ,"Scholastic Paperbacks; Reprint edition (December 29, 2015) ",in Children's Ancient Civilization Fiction (Books),in Children's Fantasy & Magic Books,in Children's Action & Adventure Books (Books),0
4,Echo, 592 pages ,"Scholastic Press; First Edition (February 24, 2015) ",in Teen & Young Adult Music Fiction,"in Teen & Young Adult Art, Music & Photography",in Teen & Young Adult Historical Fiction,1
5,Beyond The Kingdoms (Turtleback School & Library Binding Edition) (The Land of Stories), 464 pages ,"Turtleback Books; Reprint edition (June 7, 2016) ",in Children's Siblings Books (Books),in Children's Folk Tales & Myths (Books),in Children's Fantasy & Magic Books,0
6,Roller Girl, 256 pages ,"Dial Books; Illustrated edition (March 10, 2015) ",in Children's Sports & Outdoors Books (Books),in Children's Friendship Books,in Reference (Books)'],0
7,Monstrous, 448 pages ,"HarperCollins; Reprint edition (February 9, 2016) ",in Children's Books on Girls' & Women's Issues,in Children's Folk Tales & Myths (Books),in Children's Fantasy & Magic Books,0
8,"Book Scavenger (The Book Scavenger series, 1)", 368 pages ,"Square Fish; Reprint edition (April 12, 2016) ",in Children,s Books about Libraries & Reading,"in Children's Mystery, Detective, & Spy",0
9,A Night Divided (Scholastic Gold), 352 pages ,"Scholastic Inc.; Reprint edition (April 24, 2018) ",in Children's European Historical Fiction (Books),in Children's Action & Adventure Books (Books),in Children's Family Life Books (Books),0
10,The Honest Truth, 240 pages ,"Scholastic Press; Reprint edition (December 29, 2015) ",in Children's Dog Books (Books),in Children's Friendship Books,in Children's Action & Adventure Books (Books),0
11,Goodbye Stranger, 320 pages ,"Yearling; Reprint edition (May 2, 2017) ",in Children's Books on Peer Pressure (Books),in Children's Books on Emotions & Feelings (Books),in Children's Friendship Books,0
12,The Thing About Jellyfish (National Book Award Finalist), 352 pages ,"Little, Brown Books for Young Readers; Reprint edition (April 4, 2017) ",in Teen & Young Adult Fiction about Emotions & Feelings,in Teen & Young Adult Fiction about Death & Dying,in Teen & Young Adult Friendship Fiction,1
13,Ruby Reinvented (mix), 289 pages ,"Aladdin (November 3, 2015) ",in Children's New Family Experiences Books,in Children's eBooks on Girls' & Women's Issues,in Children's New Experiences Books,0
14,The Island of Dr. Libris, 272 pages ,"Yearling; Dgs edition (April 5, 2016) ",in Children,s Books about Libraries & Reading,"in Children's Mystery, Detective, & Spy",0
15,"Masterminds (Masterminds, 1)", 352 pages ,"Balzer + Bray; Reprint edition (February 2, 2016) ","in Children's Mystery, Detective, & Spy",in Children's Science & Nature Books,in Children's Action & Adventure Books (Books),0
16,The Raven's Revenge (6) (The Blackthorn Key), 512 pages ,"Aladdin (January 17, 2023) ",in Children's European Historical Fiction (Books),"in Children's Mystery, Detective, & Spy",in Children's Action & Adventure Books (Books),0
17,All the Answers, 272 pages ,"Bloomsbury USA Childrens; Reprint edition (April 19, 2016) ",in Children's School Issues,in Children's Friendship Books,in Children's Fantasy & Magic Books,0
18,Princess Academy: The Forgotten Sisters, 352 pages ,"Bloomsbury USA Childrens; Reprint edition (February 2, 2016) ",in Children's Royalty Books (Books),in Children's Friendship Books,in Children's Fantasy & Magic Books,0
19,"Flunked (Fairy Tale Reform School, 1)", 272 pages ,"Sourcebooks Young Readers; Reprint edition (February 2, 2016) ",in Children's Friendship Books,in Children's Fantasy & Magic Books,in Children's Action & Adventure Books (Books),0
20,Breaking the Ice (mix), 336 pages ,"Aladdin; Reprint edition (December 15, 2015) ",in Children's Books on Bullying,in Children's Friendship Books,,0
21,You're Invited (mix), 337 pages ,"Aladdin (May 19, 2015) ",in Children's Non-religious Books,in Children's Books about Birthdays,in Children's Jobs & Careers Reference Books,0
22,Nightbird, 208 pages ,"Yearling (March 8, 2016) ","in Children's Dragon, Unicorn & Mythical Stories",in Children's Spine-Chilling Horror,in Children's Fantasy & Magic Books,0
23,Beastkeeper, 224 pages ,"Square Fish; Reprint edition (February 23, 2016) ",in Teen & Young Adult Multigenerational Family Fiction,in Teen & Young Adult Fantasy,in Children's Books (Books),0
24,"The Curious World of Calpurnia Tate (Calpurnia Tate, 2)", 320 pages ,"Square Fish; Reprint edition (July 11, 2017) ",in Children's 1800s American Historical Fiction,in Children's 1900s American Historical Fiction,in Children's Multigenerational Family Life,0
25,"Omega City (Omega City, 1)", 352 pages ,"Balzer + Bray; Reprint edition (January 10, 2017) ",in Children's Science Fiction Books (Books),in Children's Friendship Books,in Children's Action & Adventure Books (Books),0
26,Rules for Stealing Stars, 352 pages ,"Katherine Tegen Books; Reprint edition (May 23, 2017) ",in Children's Fiction on Social Situations,in Children's Siblings Books (Books),in Children's Fantasy & Magic Books,0
27,The Nest, 272 pages ,"Simon & Schuster Books for Young Readers; Reprint edition (October 4, 2016) ",in Children's Spine-Chilling Horror,in Children's Action & Adventure Books (Books),in Literary Fiction (Books)'],0
28,The Terrible Two, 240 pages ,"Harry N. Abrams; Reprint edition (October 3, 2017) ",in Children's Chapter Books (Books),in Children's School Issues,in Children's Friendship Books,1
29,Saving Mr. Terupt, 416 pages ,"Yearling; Reprint edition (August 23, 2016) ",in Children's Books on Bullying,in Children's School Issues,in Children's Friendship Books,0
30,Paper Things, 384 pages ,"Candlewick; Reprint edition (March 14, 2017) ",in Children's Homelessness & Poverty Books (Books),in Children's Siblings Books (Books),in Children's Activity Books (Books),0
31,Lost in the Sun, 320 pages ,"Puffin Books; Reprint edition (April 26, 2016) ",in Teen & Young Adult Fiction about Emotions & Feelings,in Teen & Young Adult Friendship Fiction,in Teen & Young Adult Family Fiction,0
32,Five Kingdoms Complete Collection (Boxed Set): Sky Raiders; Rogue Knight; Crystal Keepers; Death Weavers; Time Jumpers, 2448 pages ,"Aladdin; Boxed Set edition (May 28, 2019) ",in Children's Folk Tales & Myths (Books),in Children's Fantasy & Magic Books,in Children's Action & Adventure Books (Books),0
33,Auggie & Me: Three Wonder Stories, 320 pages ,"Knopf Books for Young Readers; Illustrated edition (August 18, 2015) ",in Children's Books on Disabilities,in Children's School Issues,in Children's Friendship Books,1
34,Joshua and the Lightning Road, 279 pages ,"Wild Trail Press (December 26, 2020) ",in Children's Greek & Roman Books,in Children's Fantasy & Magic Books,in Children's Action & Adventure Books (Books),0
35,Operation Pucker Up (mix), 256 pages ,"Aladdin (July 21, 2015) ",in Children's New Experiences Books,in Children's Books on Girls' & Women's Issues,in Children's Friendship Books,0
36,"Listen, Slowly", 288 pages ,"HarperCollins; Reprint edition (May 17, 2016) ",in Children's Asia Books,in Children's Fiction on Social Situations,in Children's Multigenerational Family Life,0
37,A Pocket Full of Murder, 368 pages ,"Atheneum Books for Young Readers; Reprint edition (September 6, 2016) ","in Children's Mystery, Detective, & Spy",in Children's Friendship Books,in Children's Fantasy & Magic Books,0
38,The Girl Who Could Not Dream, 384 pages ,"Clarion Books; Reprint edition (March 14, 2017) ",in Children's Friendship Books,in Children's Fantasy & Magic Books,in Children's Action & Adventure Books (Books),0
39,"The Pirate Code (Hook's Revenge, 2)", 352 pages ,"Little, Brown Books for Young Readers; Illustrated edition (September 13, 2016) ",in Children's Parents Books,in Children's Fantasy & Magic Books,in Children's Action & Adventure Books (Books),0
40,The Truth About Twinkie Pie, 368 pages ,"Little, Brown Books for Young Readers; Reprint edition (March 7, 2017) ",in Children's Books on Drugs & Substance Abuse,in Children's Fiction on Social Situations,in Children's Parents Books,0
41,"Jinx's Fire (Jinx, 3)", 400 pages ,"Katherine Tegen Books (March 24, 2015) ",in Children's Science Fiction Books (Books),in Children's Fantasy & Magic Books,in Children's Action & Adventure Books (Books),0
42,My Secret Guide to Paris: A Wish Novel, 224 pages ,"Scholastic Inc.; Reprint edition (March 29, 2016) ",in Children's Multigenerational Family Life,in Children's Parents Books,in Children's Friendship Books,0
43,The Wolf Wilder, 240 pages ,"Simon & Schuster Books for Young Readers; Reprint edition (September 6, 2016) ",in Children's Fox & Wolf Books (Books),in Children's Friendship Books,in Children's Family Life Books (Books),0
44,The Stars of Summer: An All Four Stars Book, 352 pages ,"Puffin Books; Reprint edition (May 3, 2016) ",in Children's Humor,in Children's Action & Adventure Books (Books),,0
45,Dr. Critchlore's School for Minions: Book One, 304 pages ,"Harry N. Abrams; Reprint edition (April 12, 2016) ",in Children's Spine-Chilling Horror,in Children's School Issues,"in Children's Mystery, Detective, & Spy",0
46,"Of Enemies and Endings (Ever Afters, The)", 400 pages ,"S&S Books for Young Readers; Reprint edition (June 28, 2016) ",in Children's Folk Tales & Myths (Books),in Children's Friendship Books,in Children's Action & Adventure Books (Books),0
47,Confessions of an Imaginary Friend: A Memoir by Jacques Papier, 192 pages ,"Rocky Pond Books; Reprint edition (April 4, 2017) ",in Children's Friendship Books,in Children's Fantasy & Magic Books,in Children's Activity Books (Books),0
48,The Last Dragon Charmer #1: Villain Keeper, 357 pages ,"HarperCollins; Reprint edition (February 3, 2015) ",in Children's Sword & Sorcery Fantasy Books,in Children's Folk Tales & Myths (Kindle Store),in Children's Humorous Literature,0
49,The Odds of Getting Even (Mo & Dale Mysteries),368 pages,"Puffin Books; Reprint edition (April 4, 2017)Ê",in Children's Country Life Books,"in Children's Mystery, Detective, & Spy",in Children's Humor,0
50,Moving Target,256 pages,"Scholastic Press; Reprint edition (August 30, 2016)Ê",in Children's Hispanic & Latino Books,"in Children's Mystery, Detective, & Spy",in Children's Action & Adventure Books (Books),0
51,The Accidental Afterlife of Thomas Marsden,257 pages,"Simon & Schuster Books for Young Readers; Reprint edition (July 28, 2015)Ê",in Children's New Family Experiences Books,in Children's Scary Stories,in Children's Fantasy & Magic Adventure,0
52,Extraordinary,268 pages,"Sky Pony; Reprint edition (April 11, 2017)Ê",in Children's Books on Disabilities,in Children's Books on Girls' & Women's Issues,in Children's Friendship Books,0
53,A Curious Tale of the In-Between,240 pages,"Bloomsbury USA Childrens (September 1, 2015)Ê",in Children's Books on Death & Dying,in Children's Parents Books,in Children's Fantasy & Magic Books,0
54,Last in a Long Line of Rebels,304 pages,"Nancy Paulsen Books; Reprint edition (September 6, 2016)Ê",in Children's Country Life Books,in Children's 1800s American Historical Fiction,"in Children's Mystery, Detective, & Spy",0
55,The Detective's Assistant,368 pages,"Little, Brown; Reprint edition (April 5, 2016)Ê",in Children's 1800s American Historical Fiction,in Children's Books on Girls' & Women's Issues,"in Children's Mystery, Detective, & Spy",0
56,The Inquisitor's Mark (Eighth Day Book 2),357 pages,"HarperCollins; Illustrated edition (January 27, 2015)Ê",in Children's Arthurian Folk Tales,in Children's Arthurian Folk Tales & Myths,"in Children's Paranormal, Occult & Supernatural Books",0
57,"The Snow Flower: A story of friendship, rivalry and survival in the High Sierras",167 pages,"HarperCollins; Illustrated edition (January 27, 2015)Ê",in Children's Survival Story eBooks,in Children's Literature (Kindle Store),in Children's Action & Adventure Books (Books),0
58,I Am Drums,170 pages,"Clarion Books; Reprint edition (September 6, 2016)Ê",in Children's Marriage & Divorce Books,in Children's Music Books (Kindle Store),in Children's Books on Marriage & Divorce,0
59,The Mad Apprentice: The Forbidden Library: Volume 2,352 pages,"Puffin Books; Reprint edition (February 2, 2016)Ê",in Children,s Books about Libraries & Reading,in Children's Fantasy & Magic Books,0
60,The Sound of Life and Everything,274 pages,"G.P. Putnam's Sons Books for Young Readers (May 5, 2015)Ê",in Children's Military Fiction (Kindle Store),in Children's Military Fiction (Books),in Children's Science Fiction Books (Kindle Store),0
61,Stolen Magic,336 pages,"HarperCollins; Reprint edition (May 3, 2016)Ê",in Children's Books on Girls' & Women's Issues,"in Children's Mystery, Detective, & Spy",in Children's Fantasy & Magic Books,0
62,Unusual Chickens for the Exceptional Poultry Farmer,240 pages,"Yearling; Reprint edition (March 8, 2016)Ê",in Children's Farm Animal Books (Books),in Children's Humor,in Children's Fantasy & Magic Books,0
63,The Water and the Wild,440 pages,"Chronicle Books (April 14, 2015)Ê",in Children's Friendship Books,in Children's Fantasy & Magic Books,in Children's Action & Adventure Books (Books),0
64,Switch,384 pages,"Puffin Books; Reprint edition (September 6, 2016)Ê",in Children's Multigenerational Family Life,in Children's Friendship Books,in Children's Fantasy & Magic Books,0
65,Wish Girl,256 pages,"Razorbill; 1st edition (February 24, 2015)Ê",in Children's Country Life Books,in Children's Books on Death & Dying,in Children's Friendship Books,0
66,Hoodoo,224 pages,"Clarion Books; Reprint edition (July 18, 2017)Ê",in Teen & Young Adult Country & Ethnic Fairy Tales & Folklore,in Teen & Young Adult 20th Century United States Historical Fiction,in Teen & Young Adult Wizards & Witches Fantasy,0
67,The Missing Alchemist (The Young Alchemist Series Book 1),128 pages,"Clarion Books; Reprint edition (July 18, 2017)Ê",in Children's Fantasy & Magic Adventure,in Children's Sword & Sorcery Fantasy Books,in Children's Fantasy & Magic Books,0
68,Blue Birds,400 pages,"Puffin Books; Reprint edition (January 5, 2016)Ê",in Children's Native American Books,"in Stories in Verse',",in Children's Friendship Books,0
69,Orbiting Jupiter,192 pages,"Clarion Books; Reprint edition (May 2, 2017)Ê",in Teen & Young Adult Fiction on Physical & Emotional Abuse (Books),in Teen & Young Adult Siblings Fiction,in Teen & Young Adult Friendship Fiction,0
70,Sunny Side Up: A Graphic Novel (Sunny #1),224 pages,"Graphix; Illustrated edition (August 25, 2015)Ê",in Children's Comics & Graphic Novels (Books),in Children's Friendship Books,in Children's Family Life Books (Books),0
71,Watch the Sky,272 pages,"Little, Brown Books for Young Readers (April 7, 2015)Ê",in Children's Stepfamilies Books,in Children's Farm Life Books,in Children's Self-Esteem Books,0
72,Beast Keeper #1 (Beasts of Olympus),144 pages,"Penguin Workshop; Illustrated edition (January 8, 2015)Ê",in Children's Greek & Roman Books,in Children's Chapter Books (Books),in Children's Fantasy & Magic Books,0
73,"Amanda Lester and the Pink Sugar Conspiracy (Amanda Lester, Detective Book 1)",388 pages,"The Writing Show (May 22, 2015)Ê",in Children's Detectives Books,in Children's Fantasy & Supernatural Mystery Books,in Children's Mystery & Detective Adventure,0
