,rank,title,author,publisher,date,amazon links
0,1,THE SUN AND THE STAR,by Rick Riordan and Mark Oshiro,Disney Hyperion,"May 28, 2023",https://www.amazon.com/dp/1368081150?tag=NYTBSREV-20
1,2,THE EYES AND THE IMPOSSIBLE,by Dave Eggers. Illustrations by Shawn Harris,"Knopf, McSweeney's","May 28, 2023",https://www.amazon.com/dp/1524764205?tag=NYTBSREV-20
2,3,REFUGEE,by Alan Gratz,Scholastic,"May 28, 2023",https://www.amazon.com/Refugee-Alan-Gratz/dp/0545880831?tag=NYTBSREV-20
3,4,WONDER,by R.J. Palacio,Knopf,"May 28, 2023",http://www.amazon.com/Wonder-R-J-Palacio-ebook/dp/B0051ANPZQ?tag=NYTBSREV-20
4,5,SKANDAR AND THE PHANTOM RIDER,by A.F. Steadman,Simon & Schuster,"May 28, 2023",https://www.amazon.com/dp/1665912766?tag=NYTBSREV-20
5,6,ODDER,by Katherine Applegate. Illustrated by Charles Santoso,Feiwel & Friends,"May 28, 2023",https://www.amazon.com/dp/1250147425?tag=NYTBSREV-20
6,7,THE COMPLETE COOKBOOK FOR YOUNG CHEFS,by America's Test Kitchen Kids,Sourcebooks Jabberwocky,"May 28, 2023",https://www.amazon.com/Complete-Cookbook-Young-Chefs/dp/1492670022?tag=NYTBSREV-20
7,8,FALL OF THE SCHOOL FOR GOOD AND EVIL,by Soman Chainani. Illustrated by RaidesArt,HarperCollins,"May 28, 2023",https://www.amazon.com/dp/0063269538?tag=NYTBSREV-20
8,9,ONCE THERE WAS,by Kiyash Monsef,Simon & Schuster,"May 28, 2023",https://www.amazon.com/dp/1665928506?tag=NYTBSREV-20
9,10,BIG TREE,by Brian Selznick,Scholastic,"May 28, 2023",https://www.amazon.com/dp/1338180630?tag=NYTBSREV-20
10,1,THE SUN AND THE STAR,by Rick Riordan and Mark Oshiro,Disney Hyperion,"May 21, 2023",https://www.amazon.com/dp/1368081150?tag=NYTBSREV-20
11,2,WONDER,by R.J. Palacio,Knopf,"May 21, 2023",http://www.amazon.com/Wonder-R-J-Palacio-ebook/dp/B0051ANPZQ?tag=NYTBSREV-20
12,3,SKANDAR AND THE PHANTOM RIDER,by A.F. Steadman,Simon & Schuster,"May 21, 2023",https://www.amazon.com/dp/1665912766?tag=NYTBSREV-20
13,4,REFUGEE,by Alan Gratz,Scholastic,"May 21, 2023",https://www.amazon.com/Refugee-Alan-Gratz/dp/0545880831?tag=NYTBSREV-20
14,5,IT'S NOT BRAGGING IF IT'S TRUE,by Zaila Avant-garde with Marti Dumas,Random House,"May 21, 2023",https://www.amazon.com/dp/0593568990?tag=NYTBSREV-20
15,6,THE COMPLETE COOKBOOK FOR YOUNG CHEFS,by America's Test Kitchen Kids,Sourcebooks Jabberwocky,"May 21, 2023",https://www.amazon.com/Complete-Cookbook-Young-Chefs/dp/1492670022?tag=NYTBSREV-20
16,7,FALL OF THE SCHOOL FOR GOOD AND EVIL,by Soman Chainani. Illustrated by RaidesArt,HarperCollins,"May 21, 2023",https://www.amazon.com/dp/0063269538?tag=NYTBSREV-20
17,8,ODDER,by Katherine Applegate. Illustrated by Charles Santoso,Feiwel & Friends,"May 21, 2023",https://www.amazon.com/dp/1250147425?tag=NYTBSREV-20
18,9,THE GOLDEN FROG GAMES,by Claribel A. Ortega,Scholastic,"May 21, 2023",https://www.amazon.com/dp/1338745794?tag=NYTBSREV-20
19,10,BIG TREE,by Brian Selznick,Scholastic,"May 21, 2023",https://www.amazon.com/dp/1338180630?tag=NYTBSREV-20
20,1,WONDER,by R.J. Palacio,Knopf,"May 14, 2023",http://www.amazon.com/Wonder-R-J-Palacio-ebook/dp/B0051ANPZQ?tag=NYTBSREV-20
21,2,REFUGEE,by Alan Gratz,Scholastic,"May 14, 2023",https://www.amazon.com/Refugee-Alan-Gratz/dp/0545880831?tag=NYTBSREV-20
22,3,NIC BLAKE AND THE REMARKABLES,by Angie Thomas,Balzer + Bray,"May 14, 2023",https://www.amazon.com/dp/0063225131?tag=NYTBSREV-20
23,4,ODDER,by Katherine Applegate. Illustrated by Charles Santoso,Feiwel & Friends,"May 14, 2023",https://www.amazon.com/dp/1250147425?tag=NYTBSREV-20
24,5,BIG TREE,by Brian Selznick,Scholastic,"May 14, 2023",https://www.amazon.com/dp/1338180630?tag=NYTBSREV-20
25,6,THE COMPLETE COOKBOOK FOR YOUNG CHEFS,by America's Test Kitchen Kids,Sourcebooks Jabberwocky,"May 14, 2023",https://www.amazon.com/Complete-Cookbook-Young-Chefs/dp/1492670022?tag=NYTBSREV-20
26,7,TWO DEGREES,by Alan Gratz,Scholastic,"May 14, 2023",https://www.amazon.com/dp/1338735675?tag=NYTBSREV-20
