,rank,title,author,publisher,date
0,1,THE ONE AND ONLY IVAN,by Katherine Applegate. Illustrated by Patricia Castelao,HarperCollins,May 2023
1,2,THE WILD ROBOT,by Peter Brown,"Little, Brown",May 2023
2,3,WISH,by Barbara O'Connor,Square Fish,May 2023
3,4,A LONG WALK TO WATER,by Linda Sue Park,Clarion,May 2023
4,5,RESTART,by Gordon Korman,Scholastic,May 2023
5,6,THE ONE AND ONLY BOB,by Katherine Applegate. Illustrated by Patricia Castelao,HarperCollins,May 2023
6,7,FISH IN A TREE,by Lynda Mullaly Hunt,Nancy Paulsen,May 2023
7,8,A WOLF CALLED WANDER,by Rosanne Parry. Illustrated by Mónica Armiño,Greenwillow,May 2023
8,9,OUT OF MY MIND,by Sharon M. Draper,Atheneum,May 2023
9,10,WHEN YOU TRAP A TIGER,by Tae Keller,Yearling,May 2023
10,1,WISH,by Barbara O'Connor,Square Fish,April 2023
11,2,THE ONE AND ONLY IVAN,by Katherine Applegate. Illustrated by Patricia Castelao,HarperCollins,April 2023
12,3,THE WILD ROBOT,by Peter Brown,"Little, Brown",April 2023
13,4,A LONG WALK TO WATER,by Linda Sue Park,Clarion,April 2023
14,5,THE ONE AND ONLY BOB,by Katherine Applegate. Illustrated by Patricia Castelao,HarperCollins,April 2023
15,6,BROWN GIRL DREAMING,by Jacqueline Woodson,Nancy Paulsen,April 2023
16,7,A WOLF CALLED WANDER,by Rosanne Parry. Illustrated by Mónica Armiño,Greenwillow,April 2023
17,8,RESTART,by Gordon Korman,Scholastic,April 2023
18,9,WHEN YOU TRAP A TIGER,by Tae Keller,Yearling,April 2023
19,10,OUT OF MY MIND,by Sharon M. Draper,Atheneum,April 2023
20,1,THE ONE AND ONLY IVAN,by Katherine Applegate. Illustrated by Patricia Castelao,HarperCollins,March 2023
21,2,THE WILD ROBOT,by Peter Brown,"Little, Brown",March 2023
22,3,WHEN YOU TRAP A TIGER,by Tae Keller,Yearling,March 2023
23,4,A LONG WALK TO WATER,by Linda Sue Park,Clarion,March 2023
24,5,WISH,by Barbara O'Connor,Square Fish,March 2023
25,6,A WOLF CALLED WANDER,by Rosanne Parry. Illustrated by Mónica Armiño,Greenwillow,March 2023
26,7,AMARI AND THE NIGHT BROTHERS,by B.B. Alston,Balzer + Bray,March 2023
27,8,THE ONE AND ONLY BOB,by Katherine Applegate. Illustrated by Patricia Castelao,HarperCollins,March 2023
28,9,RESTART,by Gordon Korman,Scholastic,March 2023
29,10,PAX,Sara Pennypacker. Illustrated by Jon Klassen,Balzer + Bray,March 2023
30,1,WHEN YOU TRAP A TIGER,by Tae Keller,Yearling,February 2023
31,2,THE ONE AND ONLY IVAN,by Katherine Applegate. Illustrated by Patricia Castelao,HarperCollins,February 2023
32,3,THE WILD ROBOT,by Peter Brown,"Little, Brown",February 2023
33,4,A LONG WALK TO WATER,by Linda Sue Park,Clarion,February 2023
34,5,RESTART,by Gordon Korman,Scholastic,February 2023
35,6,WISH,by Barbara O'Connor,Square Fish,February 2023
36,7,A WOLF CALLED WANDER,by Rosanne Parry. Illustrated by Mónica Armiño,Greenwillow,February 2023
37,8,THE ONE AND ONLY BOB,by Katherine Applegate. Illustrated by Patricia Castelao,HarperCollins,February 2023
38,9,OUT OF MY MIND,by Sharon M. Draper,Atheneum,February 2023
39,10,AMARI AND THE NIGHT BROTHERS,by B.B. Alston,Balzer + Bray,February 2023
40,1,WISH,by Barbara O'Connor,Square Fish,January 2023
41,2,A WOLF CALLED WANDER,by Rosanne Parry. Illustrated by Mónica Armiño,Greenwillow,January 2023
42,3,THE ONE AND ONLY IVAN,by Katherine Applegate. Illustrated by Patricia Castelao,HarperCollins,January 2023
43,4,THE ONE AND ONLY BOB,by Katherine Applegate. Illustrated by Patricia Castelao,HarperCollins,January 2023
44,5,MAP OF FLAMES,by Lisa McMann,Putnam,January 2023
45,6,THE WILD ROBOT,by Peter Brown,"Little, Brown",January 2023
46,7,AMARI AND THE NIGHT BROTHERS,by B.B. Alston,Balzer + Bray,January 2023
47,8,A LONG WALK TO WATER,by Linda Sue Park,Clarion,January 2023
48,9,A WHALE OF THE WILD,by Rosanne Parry. Illustrated by Lindsay Moore,Greenwillow,January 2023
49,10,PAX,Sara Pennypacker. Illustrated by Jon Klassen,Balzer + Bray,January 2023
50,1,WISH,by Barbara O'Connor,Square Fish,December 2022
51,2,THE ONE AND ONLY IVAN,by Katherine Applegate. Illustrated by Patricia Castelao,HarperCollins,December 2022
52,3,MAP OF FLAMES,by Lisa McMann,Putnam,December 2022
53,4,A LONG WALK TO WATER,by Linda Sue Park,Clarion,December 2022
54,5,A WOLF CALLED WANDER,by Rosanne Parry. Illustrated by Mónica Armiño,Greenwillow,December 2022
55,6,RESTART,by Gordon Korman,Scholastic,December 2022
