,rank,title,author,publisher,date,amazon links
0,1,I WISH YOU MORE,by Amy Krouse Rosenthal. Illustrated by Tom Lichtenheld,Chronicle,"June 4, 2023",http://www.amazon.com/Wish-You-More-Krouse-Rosenthal/dp/1452126992?tag=NYTBSREV-20
1,2,THE WONDERFUL THINGS YOU WILL BE,by Emily Winfield Martin,Random House,"June 4, 2023",http://www.amazon.com/The-Wonderful-Things-You-Will/dp/0385376715?tag=NYTBSREV-20
2,3,DRAGONS LOVE TACOS,by Adam Rubin. Illustrated by Daniel Salmieri,Dial,"June 4, 2023",http://www.amazon.com/Dragons-Love-Tacos-Adam-Rubin/dp/0803736800?tag=NYTBSREV-20
3,4,THE DAY THE CRAYONS QUIT,by Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,"June 4, 2023",http://www.amazon.com/The-Crayons-Quit-Drew-Daywalt/dp/0399255370?tag=NYTBSREV-20
4,5,THE CRAYONS GO BACK TO SCHOOL,by Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,"June 4, 2023",https://www.amazon.com/dp/0593621115?tag=NYTBSREV-20
5,6,WOO HOO! YOU'RE DOING GREAT!,by Sandra Boynton,"Little, Brown","June 4, 2023",https://www.amazon.com/dp/0316486795?tag=NYTBSREV-20
6,7,BECAUSE I HAD A TEACHER,by Kobi Yamada. Illustrated by Natalie Russell,Compendium,"June 4, 2023",https://www.amazon.com/Because-Had-Teacher-teachers-everywhere/dp/1943200084?tag=NYTBSREV-20
7,8,I LOVE DAD WITH THE VERY HUNGRY CATERPILLAR,by Eric Carle,Grosset & Dunlap,"June 4, 2023",https://www.amazon.com/Love-Hungry-Caterpillar-World-Carle/dp/152478589X?tag=NYTBSREV-20
8,9,THE BOOK WITH NO PICTURES,by B.J. Novak,Dial,"June 4, 2023",http://www.amazon.com/The-Book-Pictures-B-J-Novak/dp/0803741715?tag=NYTBSREV-20
9,10,A DAY WITH NO WORDS,by Tiffany Hammond. Illustrated by Kate Cosgrove,Wheat Penny,"June 4, 2023",https://www.amazon.com/dp/1736949799?tag=NYTBSREV-20
10,1,A DAY WITH NO WORDS,by Tiffany Hammond. Illustrated by Kate Cosgrove,Wheat Penny,"May 28, 2023",https://www.amazon.com/dp/1736949799?tag=NYTBSREV-20
11,2,I LOVE MOM WITH THE VERY HUNGRY CATERPILLAR,by Eric Carle,Grosset & Dunlap,"May 28, 2023",https://www.amazon.com/Love-Hungry-Caterpillar-World-Carle/dp/0451533461?tag=NYTBSREV-20
12,3,WHY A SON NEEDS A MOM,by Gregory E. Lang. Illustrated by Gail Yerrill,Sourcebooks Wonderland,"May 28, 2023",https://www.amazon.com/dp/1728235847?tag=NYTBSREV-20
13,4,BECAUSE I HAD A TEACHER,by Kobi Yamada. Illustrated by Natalie Russell,Compendium,"May 28, 2023",https://www.amazon.com/Because-Had-Teacher-teachers-everywhere/dp/1943200084?tag=NYTBSREV-20
14,5,THE WONDERFUL THINGS YOU WILL BE,by Emily Winfield Martin,Random House,"May 28, 2023",http://www.amazon.com/The-Wonderful-Things-You-Will/dp/0385376715?tag=NYTBSREV-20
15,6,"THANK YOU, TEACHER FROM THE VERY HUNGRY CATERPILLAR",by Eric Carle,World of Eric Carle,"May 28, 2023",https://www.amazon.com/dp/0593226186?tag=NYTBSREV-20
16,7,DRAGONS LOVE TACOS,by Adam Rubin. Illustrated by Daniel Salmieri,Dial,"May 28, 2023",http://www.amazon.com/Dragons-Love-Tacos-Adam-Rubin/dp/0803736800?tag=NYTBSREV-20
17,8,WOO HOO! YOU'RE DOING GREAT!,by Sandra Boynton,"Little, Brown","May 28, 2023",https://www.amazon.com/dp/0316486795?tag=NYTBSREV-20
18,9,THE DAY THE CRAYONS QUIT,by Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,"May 28, 2023",http://www.amazon.com/The-Crayons-Quit-Drew-Daywalt/dp/0399255370?tag=NYTBSREV-20
19,10,I WISH YOU MORE,by Amy Krouse Rosenthal. Illustrated by Tom Lichtenheld,Chronicle,"May 28, 2023",http://www.amazon.com/Wish-You-More-Krouse-Rosenthal/dp/1452126992?tag=NYTBSREV-20
20,1,BECAUSE I HAD A TEACHER,by Kobi Yamada. Illustrated by Natalie Russell,Compendium,"May 21, 2023",https://www.amazon.com/Because-Had-Teacher-teachers-everywhere/dp/1943200084?tag=NYTBSREV-20
21,2,DRAGONS LOVE TACOS,by Adam Rubin. Illustrated by Daniel Salmieri,Dial,"May 21, 2023",http://www.amazon.com/Dragons-Love-Tacos-Adam-Rubin/dp/0803736800?tag=NYTBSREV-20
22,3,"THANK YOU, TEACHER FROM THE VERY HUNGRY CATERPILLAR",by Eric Carle,World of Eric Carle,"May 21, 2023",https://www.amazon.com/dp/0593226186?tag=NYTBSREV-20
23,4,THE WONDERFUL THINGS YOU WILL BE,by Emily Winfield Martin,Random House,"May 21, 2023",http://www.amazon.com/The-Wonderful-Things-You-Will/dp/0385376715?tag=NYTBSREV-20
24,5,LITTLE TROUBLEMAKER MAKES A MESS,by Luvvie Ajayi Jones. Illustrated by Joey Spiotto,Philomel,"May 21, 2023",https://www.amazon.com/dp/0593526090?tag=NYTBSREV-20
25,6,WHY A SON NEEDS A MOM,by Gregory E. Lang. Illustrated by Gail Yerrill,Sourcebooks Wonderland,"May 21, 2023",https://www.amazon.com/dp/1728235847?tag=NYTBSREV-20
26,7,REPEAT AFTER ME,by Jazmyn Simon and Dulé Hill. Illustrated by Shamar Knight-Justice,Random House,"May 21, 2023",https://www.amazon.com/dp/0593426975?tag=NYTBSREV-20
27,8,I LOVE MOM WITH THE VERY HUNGRY CATERPILLAR,by Eric Carle,Grosset & Dunlap,"May 21, 2023",https://www.amazon.com/Love-Hungry-Caterpillar-World-Carle/dp/0451533461?tag=NYTBSREV-20
28,9,THE DAY THE CRAYONS QUIT,by Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,"May 21, 2023",http://www.amazon.com/The-Crayons-Quit-Drew-Daywalt/dp/0399255370?tag=NYTBSREV-20
29,10,BIG,by Vashti Harrison,"Little, Brown","May 21, 2023",https://www.amazon.com/dp/0316353221?tag=NYTBSREV-20
30,1,BECAUSE I HAD A TEACHER,by Kobi Yamada. Illustrated by Natalie Russell,Compendium,"May 14, 2023",https://www.amazon.com/Because-Had-Teacher-teachers-everywhere/dp/1943200084?tag=NYTBSREV-20
31,2,DRAGONS LOVE TACOS,by Adam Rubin. Illustrated by Daniel Salmieri,Dial,"May 14, 2023",http://www.amazon.com/Dragons-Love-Tacos-Adam-Rubin/dp/0803736800?tag=NYTBSREV-20
32,3,THE WONDERFUL THINGS YOU WILL BE,by Emily Winfield Martin,Random House,"May 14, 2023",http://www.amazon.com/The-Wonderful-Things-You-Will/dp/0385376715?tag=NYTBSREV-20
33,4,THE DAY THE CRAYONS QUIT,by Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,"May 14, 2023",http://www.amazon.com/The-Crayons-Quit-Drew-Daywalt/dp/0399255370?tag=NYTBSREV-20
34,5,WOO HOO! YOU'RE DOING GREAT!,by Sandra Boynton,"Little, Brown","May 14, 2023",https://www.amazon.com/dp/0316486795?tag=NYTBSREV-20
35,6,DOLLY PARTON'S BILLY THE KID MAKES IT BIG,by Dolly Parton with Erica S. Perl. Illustrated by MacKenzie Haley,Penguin Workshop,"May 14, 2023",https://www.amazon.com/dp/0593661575?tag=NYTBSREV-20
36,7,I WISH YOU MORE,by Amy Krouse Rosenthal. Illustrated by Tom Lichtenheld,Chronicle,"May 14, 2023",http://www.amazon.com/Wish-You-More-Krouse-Rosenthal/dp/1452126992?tag=NYTBSREV-20
37,8,"THANK YOU, TEACHER FROM THE VERY HUNGRY CATERPILLAR",by Eric Carle,World of Eric Carle,"May 14, 2023",https://www.amazon.com/dp/0593226186?tag=NYTBSREV-20
38,9,THE BOOK WITH NO PICTURES,by B.J. Novak,Dial,"May 14, 2023",http://www.amazon.com/The-Book-Pictures-B-J-Novak/dp/0803741715?tag=NYTBSREV-20
39,10,I LOVE MOM WITH THE VERY HUNGRY CATERPILLAR,by Eric Carle,Grosset & Dunlap,"May 14, 2023",https://www.amazon.com/Love-Hungry-Caterpillar-World-Carle/dp/0451533461?tag=NYTBSREV-20
40,1,THE WONDERFUL THINGS YOU WILL BE,by Emily Winfield Martin,Random House,"May 7, 2023",http://www.amazon.com/The-Wonderful-Things-You-Will/dp/0385376715?tag=NYTBSREV-20
41,2,DRAGONS LOVE TACOS,by Adam Rubin. Illustrated by Daniel Salmieri,Dial,"May 7, 2023",http://www.amazon.com/Dragons-Love-Tacos-Adam-Rubin/dp/0803736800?tag=NYTBSREV-20
42,3,THE DAY THE CRAYONS QUIT,by Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,"May 7, 2023",http://www.amazon.com/The-Crayons-Quit-Drew-Daywalt/dp/0399255370?tag=NYTBSREV-20
43,4,WHAT DO YOU DO WITH AN IDEA?,by Kobi Yamada. Illustrated by Mae Besom,Compendium,"May 7, 2023",http://www.amazon.com/What-Do-You-Idea/dp/1938298071?tag=NYTBSREV-20
44,5,WOO HOO! YOU'RE DOING GREAT!,by Sandra Boynton,"Little, Brown","May 7, 2023",https://www.amazon.com/dp/0316486795?tag=NYTBSREV-20
45,6,I WISH YOU MORE,by Amy Krouse Rosenthal. Illustrated by Tom Lichtenheld,Chronicle,"May 7, 2023",http://www.amazon.com/Wish-You-More-Krouse-Rosenthal/dp/1452126992?tag=NYTBSREV-20
46,7,THE BOOK WITH NO PICTURES,by B.J. Novak,Dial,"May 7, 2023",http://www.amazon.com/The-Book-Pictures-B-J-Novak/dp/0803741715?tag=NYTBSREV-20
47,8,"GOOD NIGHT, LITTLE BLUE TRUCK",by Alice Schertle and Jill McElmurry,Clarion,"May 7, 2023",https://www.amazon.com/Good-Night-Little-Blue-Truck/dp/132885213X?tag=NYTBSREV-20
48,9,GRUMPY MONKEY,by Suzanne Lang. Illustrated by Max Lang,Random House,"May 7, 2023",https://www.amazon.com/Grumpy-Monkey-Suzanne-Lang/dp/0553537865?tag=NYTBSREV-20
49,10,THE SMART COOKIE,by Jory John. Illustrated by Pete Oswald,Harper,"May 7, 2023",https://www.amazon.com/dp/0063045400?tag=NYTBSREV-20
50,1,THE WONDERFUL THINGS YOU WILL BE,by Emily Winfield Martin,Random House,"April 30, 2023",http://www.amazon.com/The-Wonderful-Things-You-Will/dp/0385376715?tag=NYTBSREV-20
51,2,THE DAY THE CRAYONS QUIT,by Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,"April 30, 2023",http://www.amazon.com/The-Crayons-Quit-Drew-Daywalt/dp/0399255370?tag=NYTBSREV-20
52,3,DRAGONS LOVE TACOS,by Adam Rubin. Illustrated by Daniel Salmieri,Dial,"April 30, 2023",http://www.amazon.com/Dragons-Love-Tacos-Adam-Rubin/dp/0803736800?tag=NYTBSREV-20
53,4,WOO HOO! YOU'RE DOING GREAT!,by Sandra Boynton,"Little, Brown","April 30, 2023",https://www.amazon.com/dp/0316486795?tag=NYTBSREV-20
54,5,LITTLE DAYMOND LEARNS TO EARN,by Daymond John. Illustrated by Nicole Miles,Random House,"April 30, 2023",https://www.amazon.com/dp/0593567277?tag=NYTBSREV-20
55,6,THE BOOK WITH NO PICTURES,by B.J. Novak,Dial,"April 30, 2023",http://www.amazon.com/The-Book-Pictures-B-J-Novak/dp/0803741715?tag=NYTBSREV-20
56,7,THE BAD SEED,by Jory John. Illustrated by Pete Oswald,HarperCollins,"April 30, 2023",https://www.amazon.com/Bad-Seed-Jory-John/dp/006246776X?tag=NYTBSREV-20
