,rank,title,author,publisher,date
0,1,THE SUN AND THE STAR,by Rick Riordan and Mark Oshiro,Disney Hyperion,"May 28, 2023"
1,2,THE EYES AND THE IMPOSSIBLE,by Dave Eggers. Illustrations by Shawn Harris,"Knopf, McSweeney's","May 28, 2023"
2,3,REFUGEE,by Alan Gratz,Scholastic,"May 28, 2023"
3,4,WONDER,by R.J. Palacio,Knopf,"May 28, 2023"
4,5,SKANDAR AND THE PHANTOM RIDER,by A.F. Steadman,Simon & Schuster,"May 28, 2023"
5,6,ODDER,by Katherine Applegate. Illustrated by Charles Santoso,Feiwel & Friends,"May 28, 2023"
6,7,THE COMPLETE COOKBOOK FOR YOUNG CHEFS,by America's Test Kitchen Kids,Sourcebooks Jabberwocky,"May 28, 2023"
7,8,FALL OF THE SCHOOL FOR GOOD AND EVIL,by Soman Chainani. Illustrated by RaidesArt,HarperCollins,"May 28, 2023"
8,9,ONCE THERE WAS,by Kiyash Monsef,Simon & Schuster,"May 28, 2023"
9,10,BIG TREE,by Brian Selznick,Scholastic,"May 28, 2023"
10,1,THE SUN AND THE STAR,by Rick Riordan and Mark Oshiro,Disney Hyperion,"May 21, 2023"
11,2,WONDER,by R.J. Palacio,Knopf,"May 21, 2023"
12,3,SKANDAR AND THE PHANTOM RIDER,by A.F. Steadman,Simon & Schuster,"May 21, 2023"
13,4,REFUGEE,by Alan Gratz,Scholastic,"May 21, 2023"
14,5,IT'S NOT BRAGGING IF IT'S TRUE,by Zaila Avant-garde with Marti Dumas,Random House,"May 21, 2023"
15,6,THE COMPLETE COOKBOOK FOR YOUNG CHEFS,by America's Test Kitchen Kids,Sourcebooks Jabberwocky,"May 21, 2023"
16,7,FALL OF THE SCHOOL FOR GOOD AND EVIL,by Soman Chainani. Illustrated by RaidesArt,HarperCollins,"May 21, 2023"
17,8,ODDER,by Katherine Applegate. Illustrated by Charles Santoso,Feiwel & Friends,"May 21, 2023"
18,9,THE GOLDEN FROG GAMES,by Claribel A. Ortega,Scholastic,"May 21, 2023"
19,10,BIG TREE,by Brian Selznick,Scholastic,"May 21, 2023"
20,1,WONDER,by R.J. Palacio,Knopf,"May 14, 2023"
21,2,REFUGEE,by Alan Gratz,Scholastic,"May 14, 2023"
22,3,NIC BLAKE AND THE REMARKABLES,by Angie Thomas,Balzer + Bray,"May 14, 2023"
23,4,ODDER,by Katherine Applegate. Illustrated by Charles Santoso,Feiwel & Friends,"May 14, 2023"
24,5,BIG TREE,by Brian Selznick,Scholastic,"May 14, 2023"
25,6,THE COMPLETE COOKBOOK FOR YOUNG CHEFS,by America's Test Kitchen Kids,Sourcebooks Jabberwocky,"May 14, 2023"
26,7,TWO DEGREES,by Alan Gratz,Scholastic,"May 14, 2023"
27,8,ONCE THERE WAS,by Kiyash Monsef,Simon & Schuster,"May 14, 2023"
28,9,FREEWATER,by Amina Luqman-Dawson,"Little, Brown","May 14, 2023"
29,10,THE SWIFTS,by Beth Lincoln. Illustrated by Claire Powell,Dutton,"May 14, 2023"
30,1,WONDER,by R.J. Palacio,Knopf,"May 7, 2023"
31,2,REFUGEE,by Alan Gratz,Scholastic,"May 7, 2023"
32,3,THE COMPLETE COOKBOOK FOR YOUNG CHEFS,by America's Test Kitchen Kids,Sourcebooks Jabberwocky,"May 7, 2023"
33,4,THE RHYTHM OF TIME,by Questlove with S.A. Cosby,Putnam,"May 7, 2023"
34,5,BIG TREE,by Brian Selznick,Scholastic,"May 7, 2023"
35,6,ODDER,by Katherine Applegate. Illustrated by Charles Santoso,Feiwel & Friends,"May 7, 2023"
36,7,NIC BLAKE AND THE REMARKABLES,by Angie Thomas,Balzer + Bray,"May 7, 2023"
37,8,ONCE THERE WAS,by Kiyash Monsef,Simon & Schuster,"May 7, 2023"
38,9,TWO DEGREES,by Alan Gratz,Scholastic,"May 7, 2023"
39,10,FREEWATER,by Amina Luqman-Dawson,"Little, Brown","May 7, 2023"
40,1,WONDER,by R.J. Palacio,Knopf,"April 30, 2023"
41,2,REFUGEE,by Alan Gratz,Scholastic,"April 30, 2023"
42,3,NIC BLAKE AND THE REMARKABLES,by Angie Thomas,Balzer + Bray,"April 30, 2023"
43,4,ODDER,by Katherine Applegate. Illustrated by Charles Santoso,Feiwel & Friends,"April 30, 2023"
44,5,THE COMPLETE COOKBOOK FOR YOUNG CHEFS,by America's Test Kitchen Kids,Sourcebooks Jabberwocky,"April 30, 2023"
45,6,BIG TREE,by Brian Selznick,Scholastic,"April 30, 2023"
46,7,ONCE THERE WAS,by Kiyash Monsef,Simon & Schuster,"April 30, 2023"
47,8,GROUND ZERO,by Alan Gratz,Scholastic,"April 30, 2023"
48,9,I AM THE WALRUS,by Neal Shusterman and Eric Elfman,"Little, Brown","April 30, 2023"
49,10,TWO DEGREES,by Alan Gratz,Scholastic,"April 30, 2023"
50,1,NIC BLAKE AND THE REMARKABLES,by Angie Thomas,Balzer + Bray,"April 23, 2023"
51,2,WONDER,by R.J. Palacio,Knopf,"April 23, 2023"
52,3,REFUGEE,by Alan Gratz,Scholastic,"April 23, 2023"
53,4,ODDER,by Katherine Applegate. Illustrated by Charles Santoso,Feiwel & Friends,"April 23, 2023"
54,5,TWO DEGREES,by Alan Gratz,Scholastic,"April 23, 2023"
55,6,THE COMPLETE COOKBOOK FOR YOUNG CHEFS,by America's Test Kitchen Kids,Sourcebooks Jabberwocky,"April 23, 2023"
56,7,STAR WARS: THE HIGH REPUBLIC: QUEST FOR PLANET X,by Tessa Gratton,Disney Lucasfilm,"April 23, 2023"
