Books,Counts
by Drew Daywalt. Illustrated by Oliver Jeffers,399
by Adam Rubin. Illustrated by Daniel Salmieri,374
by Mo Willems,359
by Emily Winfield Martin,334
by Sherri Duskey Rinker and Tom Lichtenheld,271
by Hervé Tullet,259
by Andrea Beaty. Illustrated by David Roberts,221
by Eric Litwin. Illustrated by James Dean,208
by B.J. Novak,168
written and illustrated by Rufus Butler Seder,160
by Adam Wallace. Illustrated by Andy Elkerton,143
by Eric Carle,118
by Amy Krouse Rosenthal. Illustrated by Tom Lichtenheld,91
by Anna Dewdney,91
by Jon Klassen,91
written and illustrated by Mo Willems,86
by Suzanne Lang. Illustrated by Max Lang,85
by Jory John. Illustrated by Pete Oswald,84
by Simon Beecroft,81
by Jane O’Connor. Illustrated by Robin Preiss Glasser,73
by Dr. Seuss,71
by Kobi Yamada. Illustrated by Mae Besom,69
by James Dean and Kimberly Dean,67
by Clement C. Moore. Various illustrators,67
by James Dean,60
by Alice Schertle and Jill McElmurry,59
by Jan Brett,53
by Greg Mortenson and Susan L. Roth,52
by Chelsea Clinton. Illustrated by Alexandra Boiger,50
by Ryan T. Higgins,49
by Matthew A. Cherry. Illustrated by Vashti Harrison,48
written and illustrated by Victoria Kann,46
by Alice Schertle. Illustrated by Jill McElmurry,45
by Amy Krouse Rosenthal and Paris Rosenthal. Illustrated by Holly Hatam,45
by Jerry Pinkney,42
by Aaron Reynolds. Illustrated by Peter Brown,40
by Jane O'Connor. Illustrated by Robin Preiss Glasser,40
by Sherri Duskey Rinker. Illustrated by A. G. Ford,39
by Jacqueline Woodson. Illustrated by Rafael López,39
by Judy Schachner,38
by Jean Reagan. Illustrated by Lee Wildish,37
by Philip C. Stead. Illustrated by Erin E. Stead,37
by Dan Santat,36
by Oliver Jeffers,35
by Alexandra Penfold and Suzanne Kaufman,34
by Aaron Becker,33
by Barack Obama. Illustrated by Loren Long,32
by Kimberly and James Dean,30
by Jimmy Fallon. Illustrated by Miguel Ordóñez,30
by David Soman and Jacky Davis,29
by Marlon Bundo with Jill Twiss. Illustrated by E.G. Keller,28
by Grace Byers. Illustrated by Keturah A. Bobo,27
by Matt de la Peña. Illustrated by Christian Robinson,27
written and illustrated by Peter Brown,27
by Todd and Sonja Burpo. Illustrated by Wilson Ong,26
by Julie Andrews and Emma Walton Hamilton. Illustrated by Christine Davenier,26
by Rufus Butler Seder,26
written and illustrated by Lane Smith,26
by Jamie Lee Curtis. Illustrated by Laura Cornell,25
by Kristen Bell and Benjamin Hart. Illustrated by Daniel Wiseman,24
by Adam Wallace and Andy Elkerton,23
by Amanda Gorman. Illustrated by Loren Long,23
by Raj Haldar and Chris Carpenter. Illustrated by Maria Tina Beddia,23
