Book,Count
DRAGONS LOVE TACOS,373
THE WONDERFUL THINGS YOU WILL BE,334
THE DAY THE CRAYONS QUIT,333
PRESS HERE,243
"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE",221
THE BOOK WITH NO PICTURES,168
"ROSIE REVERE, ENGINEER",160
PETE THE CAT: I LOVE MY WHITE SHOES,104
LEGO STAR WARS,81
I WISH YOU MORE,80
WAITING IS NOT EASY!,79
GRUMPY MONKEY,75
GALLOP!,72
THE NIGHT BEFORE CHRISTMAS,67
PETE THE CAT AND HIS FOUR GROOVY BUTTONS,54
LISTEN TO THE WIND: THE STORY OF DR. GREG AND THREE CUPS OF TEA,52
SWING!,49
LOVE FROM THE VERY HUNGRY CATERPILLAR,48
HAIR LOVE,48
I WANT MY HAT BACK,48
THE PIGEON HAS TO GO TO SCHOOL!,46
HOW TO CATCH A UNICORN,45
DEAR GIRL,45
WHAT DO YOU DO WITH AN IDEA?,44
"GOOD NIGHT, LITTLE BLUE TRUCK",44
SHE PERSISTED,44
"ADA TWIST, SCIENTIST",43
THIS IS NOT MY HAT,42
THE LION AND THE MOUSE,42
THE PIGEON NEEDS A BATH!,41
PETE THE CAT: BIG EASTER ADVENTURE,40
"STEAM TRAIN, DREAM TRAIN",39
WADDLE!,39
CONSTRUCTION SITE ON CHRISTMAS NIGHT,38
WE DON'T EAT OUR CLASSMATES!,38
THE DAY YOU BEGIN,37
THE DAY THE CRAYONS CAME HOME,35
HOW TO CATCH AN ELF,34
ALL ARE WELCOME,34
A SICK DAY FOR AMOS McGEE,34
HOW TO CATCH A LEPRECHAUN,32
PETE THE CAT: FIVE LITTLE PUMPKINS,32
OF THEE I SING,32
JOURNEY,31
SILVERLICIOUS,29
A DAY IN THE LIFE OF MARLON BUNDO,28
PETE THE CAT'S 12 GROOVY DAYS OF CHRISTMAS,27
I AM ENOUGH,27
PETE THE CAT: ROCKING IN MY SCHOOL SHOES,27
HEAVEN IS FOR REAL FOR KIDS,26
IT’S A BOOK,26
THE THANK YOU BOOK,25
THE BIPPOLO SEED AND OTHER LOST STORIES,25
AN ELEPHANT AND PIGGIE BIGGIE!,24
"TIME FOR SCHOOL, LITTLE BLUE TRUCK",24
HOW TO CATCH THE EASTER BUNNY,23
THE WORLD NEEDS MORE PURPLE PEOPLE,23
CHANGE SINGS,23
PETE THE CAT SAVES CHRISTMAS,23
P IS FOR PTERODACTYL,23
THE CURIOUS GARDEN,23
I LOVE DAD WITH THE VERY HUNGRY CATERPILLAR,22
WE ARE WATER PROTECTORS,22
LAST STOP ON MARKET STREET,22
