Books,Counts
THE ONE AND ONLY IVAN,17
A LONG WALK TO WATER,17
WISH,16
RESTART,15
A WOLF CALLED WANDER,15
OUT OF MY MIND,14
THE WILD ROBOT,13
THE ONE AND ONLY BOB,12
AMARI AND THE NIGHT BROTHERS,9
FISH IN A TREE,7
CRENSHAW,7
BROWN GIRL DREAMING,6
WHEN YOU TRAP A TIGER,4
PAX,4
MAP OF FLAMES,2
A WHALE OF THE WILD,2
THE ACCIDENTAL APPRENTICE,2
DUST & GRIM,1
THE LION OF MARS,1
THE CROSSOVER,1
THE LAST FALLEN STAR,1
THE MEMORY THIEF,1
WAYS TO MAKE SUNSHINE,1
THE GIRL WHO DRANK THE MOON,1
NEVER AFTER: THE THIRTEENTH FAIRY,1
