,title,author,illustrator,publisher,earliest date,latest date,amazon link,ranks list,average rank,weeks on list
0,WONDER,R.J. Palacio, ,Knopf,"August 30, 2015","August 11, 2024",http://www.amazon.com/Wonder-R-J-Palacio-ebook/dp/B0051ANPZQ?tag=thenewyorktim-20,"[1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 7, 4, 7, 1, 4, 5, 3, 4, 3, 3, 3, 7, 8, 4, 5, 4, 5, 4, 6, 3, 3, 2, 1, 1, 2, 2, 2, 3, 2, 2, 2, 3, 3, 2, 4, 4, 3, 2, 2, 2, 4, 2, 1, 1, 1, 2, 1, 1, 1, 2, 2, 3, 1, 2, 1, 1, 1, 1, 1, 6, 8, 7, 7, 5, 8, 4, 4, 3, 3, 3, 4, 4, 2, 2, 2, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 2, 3, 1, 2, 3, 1, 1, 2, 6, 7, 5, 4, 3, 2, 2, 1, 4, 1, 2, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 2, 1, 3, 1, 4, 2, 2, 3, 6, 1, 2, 2, 2, 6, 5, 5, 7, 8, 6, 10, 7, 5, 7, 5, 4, 6, 9, 8, 8, 7, 3, 4, 3, 4, 6, 4, 4, 3, 3, 3, 3, 3, 2, 2, 2, 2, 3, 2, 2, 3, 3, 2, 5, 3, 3, 3, 2, 2, 3, 7, 5, 3, 4, 3, 3, 1, 4, 8, 6, 5, 2, 1, 1, 3, 8, 5, 6, 6, 5, 3, 3, 4, 3, 7, 4, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 4, 3, 4, 3, 3, 2, 2, 3, 3, 3, 3, 6, 3, 1, 3, 1, 1, 1, 1, 1, 1, 3, 1, 1, 2, 2, 1, 1, 3, 2, 1, 1, 1, 1, 1, 2, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 1, 1, 2, 2, 2, 3, 3, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 4, 4, 2, 5, 3, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 2, 1, 1, 1, 2, 4, 3, 3, 4, 3, 3, 2, 2, 2, 3, 3, 2, 2, 1, 1, 1, 2, 2, 1, 1, 1, 2, 1, 5, 6, 4, 3, 2, 3, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1]",2.408256880733945,436
1,HEROES,Alan Gratz, ,Scholastic,"February 25, 2024","August 11, 2024",https://www.amazon.com/dp/1338736078?tag=thenewyorktim-20,"[2, 2, 3, 3, 5, 4, 5, 5, 5, 4, 4, 4, 3, 2, 2, 2, 1, 1, 1, 1, 6, 3, 1, 1, 1]",2.84,25
2,REFUGEE,Alan Gratz, ,Scholastic,"August 13, 2017","August 11, 2024",https://www.amazon.com/Refugee-Alan-Gratz/dp/0545880831?tag=thenewyorktim-20,"[3, 3, 2, 1, 2, 2, 2, 2, 2, 7, 5, 3, 7, 9, 8, 9, 2, 3, 4, 7, 4, 6, 7, 6, 7, 7, 6, 6, 1, 2, 2, 3, 3, 1, 2, 3, 3, 3, 2, 2, 4, 3, 3, 4, 3, 3, 3, 3, 4, 2, 2, 2, 3, 2, 2, 2, 3, 3, 1, 2, 1, 3, 3, 2, 2, 8, 8, 8, 6, 10, 5, 6, 5, 5, 4, 3, 2, 3, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 1, 2, 2, 4, 3, 2, 3, 2, 2, 3, 2, 7, 5, 4, 3, 4, 1, 10, 4, 4, 4, 4, 5, 2, 3, 5, 2, 2, 2, 2, 4, 1, 4, 2, 2, 3, 2, 1, 2, 3, 4, 5, 7, 7, 4, 5, 3, 6, 7, 7, 8, 6, 8, 8, 5, 5, 5, 6, 5, 5, 6, 4, 5, 4, 4, 5, 6, 5, 4, 5, 4, 5, 6, 6, 4, 6, 4, 9, 9, 9, 10, 7, 5, 4, 5, 2, 8, 4, 7, 4, 2, 2, 6, 5, 5, 4, 8, 8, 8, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 2, 4, 3, 4, 2, 5, 3, 6, 4, 6, 7, 8, 3, 4, 8, 7, 7, 6, 9, 4, 5, 3, 9, 8, 6, 5, 6, 5, 5, 3, 3, 2, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 3, 3, 3, 3, 6, 3, 4, 3, 8, 10, 10, 9, 7, 9, 6, 6, 10, 8]",4.2377358490566035,265
3,THE SUN AND THE STAR,Rick Riordan and Mark Oshiro, ,Disney Hyperion,"May 21, 2023","August 11, 2024",https://www.amazon.com/dp/1368081150?tag=thenewyorktim-20,"[4, 4, 4, 5, 4, 5, 3, 8, 7, 6, 7, 6, 5, 9, 4, 4, 3, 2, 2, 2, 10, 6, 5, 4, 5, 3, 4, 2, 2, 1, 1, 5, 5, 5, 5, 4, 5, 4, 5, 7, 5, 4, 2, 4, 5, 4, 3, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1]",3.5384615384615383,65
4,WINGS OF FIRE: A GUIDE TO THE DRAGON WORLD,Tui T. Sutherland,Joy Ang,Scholastic,"October 22, 2023","August 11, 2024",https://www.amazon.com/dp/1338634828?tag=thenewyorktim-20,"[5, 5, 7, 7, 7, 7, 10, 6, 8, 8, 7, 6, 10, 5, 6, 4, 3, 6, 7, 8, 6, 7, 9, 7, 6, 5, 6, 3, 4, 3, 3, 3, 3, 3, 1, 3, 1, 1, 1, 3, 1]",5.146341463414634,41
5,THE MISFITS: A ROYAL CONUNDRUM,Lisa Yee,Dan Santat,Random House,"January 28, 2024","August 11, 2024",https://www.amazon.com/dp/1984830295?tag=thenewyorktim-20,"[6, 6, 9, 8, 3, 3, 6, 3, 3, 3, 3, 8, 8, 8, 4, 7]",5.5,16
6,ODDER,Katherine Applegate,Charles Santoso,Feiwel & Friends,"October 9, 2022","August 11, 2024",https://www.amazon.com/dp/1250147425?tag=thenewyorktim-20,"[7, 8, 5, 9, 9, 8, 4, 6, 4, 5, 6, 5, 7, 8, 3, 5, 8, 9, 8, 9, 8, 8, 8, 10, 10, 10, 10, 9, 10, 10, 9, 9, 8, 5, 6, 4, 4, 4, 4, 4, 4, 6, 10, 9, 9, 8, 6, 7, 8, 8, 6, 8, 4, 6, 4, 4, 5, 3, 6, 7, 4, 7, 3, 6, 5, 2, 5, 7, 4, 3, 7, 5, 4, 4, 4, 7, 2, 4, 2, 2, 3, 6, 4, 1]",6.095238095238095,84
7,THEY CALL ME NO SAM!,Drew Daywalt,Mike Lowery,Clarion,"June 23, 2024","August 11, 2024",https://www.amazon.com/dp/035861290X?tag=thenewyorktim-20,"[8, 7, 6, 6, 6, 9, 9, 10]",7.625,8
8,THE EYES AND THE IMPOSSIBLE,Dave Eggers,Shawn Harris,"Knopf, McSweeney's","May 28, 2023","August 11, 2024",https://www.amazon.com/dp/1524764205?tag=thenewyorktim-20,"[9, 10, 10, 10, 9, 8, 8, 4, 7, 7, 7, 6, 5, 8, 7, 7, 10, 1, 1, 10, 5, 4, 2]",6.739130434782608,23
9,THE COMPLETE COOKBOOK FOR YOUNG CHEFS,America's Test Kitchen Kids, ,Sourcebooks Jabberwocky,"November 4, 2018","August 11, 2024",https://www.amazon.com/Complete-Cookbook-Young-Chefs/dp/1492670022?tag=thenewyorktim-20,"[10, 9, 8, 10, 8, 6, 7, 7, 8, 2, 2, 2, 2, 6, 8, 3, 5, 5, 3, 3, 10, 9, 6, 7, 10, 7, 6, 5, 4, 2, 1, 1, 1, 1, 1, 2, 1, 2, 8, 9, 10, 6, 7, 10, 8, 9, 5, 7, 4, 5, 8, 10, 7, 5, 6, 9, 7, 6, 6, 3, 5, 6, 3, 5, 3, 5, 6, 4, 5, 5, 7, 5, 4, 3, 2, 1, 1, 1, 1, 1, 1, 3, 3, 5, 7, 8, 7, 5, 9, 3, 2, 2, 2, 3, 2, 6, 6, 6, 10, 8, 10, 8, 10, 8, 8, 7, 8, 6, 6, 10, 9, 8, 7, 8, 9, 9, 6, 4, 3, 2, 2, 2, 3, 5, 6, 6, 10, 10, 5, 8, 9, 8, 7, 6, 7, 8, 8, 7, 7, 4, 3, 4, 3, 3, 5, 5, 3, 4, 2, 2, 2, 1, 1, 1, 1, 2, 1, 3, 6, 6, 4, 9, 7, 8, 6, 9, 6, 7, 4, 1, 1, 1, 1, 1, 1, 2, 4, 6, 5, 9, 5, 9, 7, 8, 7, 9, 4, 7, 9, 8, 9, 10, 1, 9, 1, 1, 6, 1, 1, 2, 2, 2, 3, 4, 4, 5]",5.213592233009709,206
