title,number_reviews,pages,genre_tags,mood_tags,moods,moods_percentages,pace,pace_percentages,plot_character_driven,character_development,lovable_char,diverse_char,character_flaws,rating,graphic_content_warnings,moderate_content_warnings,minor_content_warnings,adventurous,challenging,dark,emotional,funny,hopeful,informative,inspiring,lighthearted,mysterious,reflective,relaxing,sad,tense,fast pace,medium pace,slow pace,plot_driven,char_driven,mix_plot_and_char_driven,NA_pc_driven,yes_char_dev,no_char_dev,its_comp_char_dev,NA_char_dev,yes_lovable_char,no_lovable_char,its_comp_lovable_char,NA_lovable_char,yes_diverse_char,no_diverse_char,its_comp_diverse_char,NA_diverse_char,yes_char_flaws_imp,no_char_flaws_imp,its_comp_flaws_imp,NA_char_flaws_imp,plot_character_driven_class,character_development_class,lovable_char_class,diverse_char_class,character_flaws_class
Wonder,"67,255",315,contemporary' 'fiction' 'middle grade' 'young adult',"emotional, reflective","emotional, inspiring, hopeful, funny, reflective, lighthearted, sad, challenging, informative, adventurous, relaxing, tense, dark","82%', '75%', '66%', '44%', '42%', '34%', '28%', '13%', '10%', '7%', '7%', '2%', '1%'","medium', 'fast', 'slow'","52%', '42%', '5%'",Character: 79% | A mix: 17% | Plot: 2% ,Yes: 92% | It's complicated: 4% | No: 2% ,Yes: 92% | It's complicated: 5% | No: 1% ,Yes: 73% | No: 11% | It's complicated: 10% | N/A: 4% ,Yes: 68% | It's complicated: 19% | No: 9% | N/A: 2% ,4.29,"Bullying,  Ableism,  Body shaming","Animal death,  Medical content,  Violence","Death,  Suicide,  Grief",7,13,1,82,44,66,10,75,34,NA,42,7,28,2,42,52,5,0.02,0.79,0.17,NA,0.92,0.02,0.04,NA,0.92,0.01,0.05,NA,0.73,0.11,0.1,0.04,0.68,0.09,0.19,0.02,Character,Yes,Yes,Yes,Yes
Heroes: A Novel of Pearl Harbor,98,219,fiction' 'historical' 'middle grade',"emotional, reflective","adventurous, tense, informative, emotional, sad, inspiring, hopeful, challenging, reflective, dark","86%', '64%', '54%', '50%', '38%', '30%', '20%', '18%', '14%', '12%'","funny', 'fast', 'medium'","2%', '85%', '14%'",A mix: 56% | Plot: 34% | Character: 9% ,Yes: 60% | No: 26% | It's complicated: 13% ,Yes: 63% | It's complicated: 26% | No: 6% | N/A: 3% ,Yes: 93% | It's complicated: 6% ,Yes: 76% | No: 16% | It's complicated: 6% ,4.09,NA,"Violence,  Racism,  Xenophobia",NA,86,18,12,50,NA,20,54,30,NA,NA,14,NA,38,64,85,14,NA,0.34,0.09,0.56,NA,0.6,0.26,0.13,NA,0.63,0.06,0.26,0.03,0.93,NA,0.06,NA,0.76,0.16,0.06,NA,A mix,Yes,Yes,Yes,Yes
Refugee,"5,083",338,fiction' 'historical' 'middle grade' 'young adult',"sad, tense, emotional","emotional, sad, tense, adventurous, challenging, informative, dark, hopeful, inspiring, reflective, mysterious, funny, lighthearted","83%', '72%', '57%', '53%', '44%', '41%', '40%', '35%', '33%', '27%', '5%', '1%', '1%'","fast', 'medium', 'slow'","57%', '38%', '3%'",A mix: 51% | Plot: 31% | Character: 17% ,Yes: 70% | It's complicated: 16% | No: 10% | N/A: 3% ,Yes: 84% | It's complicated: 11% | No: 2% ,Yes: 95% | It's complicated: 2% | No: 1% ,No: 63% | It's complicated: 19% | Yes: 14% | N/A: 3% ,4.36,"War,  Child death,  Violence","Suicide attempt,  Genocide,  Police brutality","Torture,  Grief,  Drug use",53,44,40,83,1,35,41,33,1,5,27,NA,72,57,57,38,3,0.31,0.17,0.51,NA,0.7,0.1,0.16,0.03,0.84,0.02,0.11,NA,0.95,0.01,0.02,NA,0.14,0.63,0.19,0.03,A mix,Yes,Yes,Yes,No
The Sun and the Star,"7,585",480,fantasy' 'fiction' 'lgbtqia+' 'young adult',"adventurous, emotional, funny","adventurous, emotional, funny, hopeful, dark, reflective, tense, inspiring, challenging, sad, lighthearted, mysterious, relaxing, informative","93%', '82%', '55%', '49%', '39%', '30%', '28%', '27%', '19%', '19%', '17%', '14%', '3%', '1%'","medium', 'fast', 'slow'","60%', '33%', '6%'",A mix: 63% | Character: 26% | Plot: 10% ,Yes: 94% | It's complicated: 3% | No: 1% ,Yes: 97% | It's complicated: 2% ,Yes: 87% | It's complicated: 7% | No: 3% | N/A: 1% ,Yes: 86% | It's complicated: 10% | No: 2% ,4.22,"Grief,  Death,  Mental illness","Death of parent,  Violence,  Blood","Homophobia,  Outing,  Eating disorder",93,19,39,82,55,49,1,27,17,14,30,3,19,28,33,60,6,0.1,0.26,0.63,NA,0.94,0.01,0.03,NA,0.97,NA,0.02,NA,0.87,0.03,0.07,0.01,0.86,0.02,0.1,NA,A mix,Yes,Yes,Yes,Yes
A Guide to the Dragon World,42,272,childrens' 'fantasy' 'fiction' 'reference',adventurous,"informative, lighthearted, adventurous, funny, relaxing, inspiring, reflective, dark, emotional, hopeful, mysterious, challenging, tense","86%', '65%', '52%', '52%', '30%', '21%', '21%', '17%', '8%', '8%', '8%', '4%', '4%'","fast', 'medium', 'slow'","65%', '25%', '10%'",A mix: 38% | N/A: 33% | Character: 23% | Plot: 4% ,It's complicated: 38% | N/A: 33% | Yes: 23% | No: 4% ,Yes: 90% | N/A: 4% | No: 4% ,Yes: 76% | It's complicated: 14% | N/A: 9% ,No: 47% | N/A: 28% | It's complicated: 23% ,4.25,NA,NA,NA,52,4,17,8,52,8,86,21,65,8,21,30,NA,4,65,25,10,0.04,0.23,0.38,0.33,0.23,0.04,0.38,0.33,0.9,0.04,NA,0.04,0.76,NA,0.14,0.09,NA,0.47,0.23,0.28,A mix,It's complicated,Yes,Yes,No
A Royal Conundrum,161,288,fiction' 'middle grade' 'mystery',"adventurous, mysterious, funny","adventurous, mysterious, funny, lighthearted, hopeful, emotional, challenging, inspiring, tense, relaxing","89%', '68%', '67%', '44%', '19%', '7%', '3%', '3%', '3%', '2%'","reflective', 'fast', 'medium'","1%', '53%', '46%'",A mix: 61% | Plot: 33% | Character: 4% ,Yes: 81% | It's complicated: 13% | No: 5% ,Yes: 93% | It's complicated: 3% | No: 3% ,Yes: 100% ,No: 40% | Yes: 40% | It's complicated: 18% ,3.86,NA,"Violence,  Abandonment","Bullying,  Racism,  Xenophobia",89,3,NA,7,67,19,NA,3,44,68,NA,2,NA,3,53,46,NA,0.33,0.04,0.61,NA,0.81,0.05,0.13,NA,0.93,0.03,0.03,NA,1,NA,NA,NA,0.4,0.4,0.18,NA,A mix,Yes,Yes,Yes,No
Odder,948,272,fiction' 'middle grade',"hopeful, emotional","hopeful, emotional, informative, inspiring, adventurous, lighthearted, reflective, sad, funny, relaxing, challenging, tense, dark, mysterious","70%', '65%', '58%', '48%', '45%', '41%', '20%', '17%', '16%', '7%', '3%', '2%', '1%', '1%'","fast', 'medium', 'slow'","59%', '35%', '5%'",Character: 46% | A mix: 39% | Plot: 11% | N/A: 1% ,Yes: 73% | It's complicated: 15% | No: 6% | N/A: 4% ,Yes: 98% | It's complicated: 1% ,N/A: 38% | It's complicated: 23% | No: 23% | Yes: 13% ,Yes: 47% | No: 24% | It's complicated: 19% | N/A: 8% ,4.19,"Animal death,  Child death,  Confinement","Injury/Injury detail,  Abandonment,  Death of parent","Blood,  Pregnancy,  Miscarriage",45,3,1,65,16,70,58,48,41,1,20,7,17,2,59,35,5,0.11,0.46,0.39,0.01,0.73,0.06,0.15,0.04,0.98,NA,0.01,NA,0.13,0.23,0.23,0.38,0.47,0.24,0.19,0.08,Character,Yes,Yes,NA,Yes
They Call Me No Sam!,11,224,childrens' 'fiction' 'middle grade',,"funny, lighthearted, adventurous, mysterious, relaxing, emotional","100%', '75%', '62%', '25%', '25%', '12%'","inspiring', 'fast', 'medium'","12%', '75%', '25%'",A mix: 50% | Plot: 50% ,It's complicated: 33% | No: 33% | Yes: 33% ,Yes: 50% | It's complicated: 25% | No: 25% ,No: 66% | It's complicated: 33% ,Yes: 100% ,3.9,NA,NA,NA,62,NA,NA,12,100,NA,NA,NA,75,25,NA,25,NA,NA,75,25,NA,0.5,NA,0.5,NA,0.33,0.33,0.33,NA,0.5,0.25,0.25,NA,NA,0.66,0.33,NA,1,NA,NA,NA,A mix,It's complicated,Yes,No,Yes
The Complete Cookbook for Young Chefs: 100+ Recipes That You'll Love to Cook and Eat,37,208,childrens' 'food and drink' 'nonfiction',"lighthearted, informative","adventurous, informative","100%', '100%'","inspiring', 'relaxing', 'slow'","100%', '100%', '100%'",NA,NA,NA,NA,NA,4.32,NA,NA,NA,100,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Faker,24,224,contemporary' 'fiction' 'middle grade',"lighthearted, dark, emotional","reflective, funny, emotional, hopeful, mysterious, lighthearted, adventurous, tense, inspiring","50%', '42%', '28%', '28%', '28%', '21%', '14%', '14%', '7%'","sad', 'fast', 'medium'","7%', '53%', '46%'",A mix: 71% | Character: 14% | Plot: 14% ,Yes: 100% ,It's complicated: 71% | Yes: 28% ,No: 100% ,Yes: 100% ,4.04,NA,NA,NA,14,NA,NA,28,42,28,NA,7,21,28,50,NA,NA,14,53,46,NA,0.14,0.14,0.71,NA,1,NA,NA,NA,0.28,NA,0.71,NA,NA,1,NA,NA,1,NA,NA,NA,A mix,Yes,It's complicated,No,Yes
